COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year
28,Madrid,28022,Boadilla del Monte,1408.8318356867778,1078.0119811724433,1744.8472400513479,666.8352588789046,2337,2,2024
28,Madrid,28115,Pozuelo de Alarcón,1360.6529032258065,915.1096774193549,1821.9716129032258,906.861935483871,4650,2,2024
10,Cáceres,10085,"Gordo, El",1300.0,400.0,1500.0,1100.0,11,1,2024
07,"Balears, Illes",07050,Sant Joan de Labritja,1221.5632183908046,789.6551724137931,1938.0459770114942,1148.390804597701,522,2,2024
17,Girona,17024,Bolvir,1176.0,733.0,1652.0,919.0,25,1,2024
28,Madrid,28080,Majadahonda,1169.8465001125367,876.4821066846725,1497.7296871483231,621.2475804636506,4443,2,2024
08,Barcelona,08120,Matadepera,1169.834808259587,861.1622418879056,1444.1799410029498,583.0176991150443,339,2,2024
08,Barcelona,08221,Sant Just Desvern,1166.818345323741,860.919964028777,1585.2347122302158,724.3147482014388,1112,2,2024
08,Barcelona,08205,Sant Cugat del Vallès,1143.607970192775,849.658188887089,1544.128624655759,694.4704357686701,6173,2,2024
29,Málaga,29023,Benahavís,1134.6211453744493,791.2731277533039,1687.7224669603524,896.4493392070485,227,2,2024
08,Barcelona,08264,Sant Vicenç de Montalt,1123.8857142857144,829.6571428571428,1523.8285714285714,694.1714285714286,385,2,2024
08,Barcelona,08003,Alella,1105.6380597014925,803.223880597015,1561.9402985074628,758.7164179104478,536,2,2024
28,Madrid,28152,Torrelodones,1097.6165938864629,841.917903930131,1386.850655021834,544.9327510917029,1145,2,2024
08,Barcelona,08282,Tiana,1090.0,799.0909090909091,1355.3636363636363,556.2727272727271,440,2,2024
08,Barcelona,08030,Cabrils,1078.6931506849314,810.8657534246576,1404.1753424657534,593.3095890410958,365,2,2024
28,Madrid,28127,"Rozas de Madrid, Las",1051.2184130049895,809.2547883470144,1354.3536133912764,545.0988250442621,6213,2,2024
08,Barcelona,08281,Teià,1032.1936507936507,753.0603174603175,1379.3619047619047,626.3015873015872,315,2,2024
28,Madrid,28181,Villaviciosa de Odón,1004.6153846153846,819.2307692307693,1291.923076923077,472.6923076923076,1326,2,2024
08,Barcelona,08020,Begues,994.3442211055276,709.6708542713568,1177.4824120603016,467.8115577889448,398,2,2024
08,Barcelona,08270,Sitges,987.0264345583495,781.0257898130238,1344.233397807866,563.2076079948421,3102,2,2024
07,"Balears, Illes",07048,Sant Josep de sa Talaia,983.7564766839379,750.0,1414.790390956194,664.790390956194,2123,2,2024
28,Madrid,28903,Tres Cantos,979.0901830282862,845.393677204659,1170.8302828618969,325.4366056572379,3005,2,2024
08,Barcelona,08056,Castelldefels,973.6641432791728,792.4518094534712,1263.5967503692762,471.1449409158049,5416,2,2024
08,Barcelona,08230,Premià de Dalt,969.6178707224335,708.212927756654,1265.0817490494296,556.8688212927756,526,2,2024
20,Gipuzkoa,20069,Donostia / San Sebastián,969.4192577733199,821.0070210631895,1206.6800401203611,385.6730190571716,12961,2,2024
08,Barcelona,08296,Vallromanes,961.2871287128713,670.3168316831683,1314.1683168316831,643.8514851485148,101,2,2024
28,Madrid,28176,Villanueva de la Cañada,958.1497797356828,769.7923222152297,1198.3297671491505,428.5374449339208,1589,2,2024
46,Valencia/Valéncia,46903,San Antonio de Benagéber,953.0034129692833,703.3310580204778,1303.754266211604,600.4232081911263,293,2,2024
28,Madrid,28169,Venturada,952.0,625.0,1297.0,672.0,60,1,2024
28,Madrid,28104,Paracuellos de Jarama,948.2972051806407,700.2719836400818,1126.9311520109065,426.6591683708248,1467,2,2024
08,Barcelona,08005,"Ametlla del Vallès, L'",946.5631067961165,693.1359223300971,1231.2912621359224,538.1553398058253,309,2,2024
28,Madrid,28177,Villanueva del Pardillo,943.1116751269036,767.6649746192893,1170.1522842639595,402.4873096446702,985,2,2024
28,Madrid,28006,Alcobendas,942.0688642733218,704.1430668624049,1245.4137194715067,541.2706526091018,7493,2,2024
17,Girona,17002,Aiguaviva,933.0,575.0,1270.0,695.0,25,1,2024
07,"Balears, Illes",07054,Santa Eulalia del Río,929.2593167701864,706.3612836438923,1390.8385093167701,684.4772256728778,3864,2,2024
17,Girona,17136,Pontós,926.0,544.0,1177.0,633.0,13,1,2024
08,Barcelona,08219,Vilassar de Mar,919.0060472787246,748.2319956019791,1138.7674546454095,390.5354590434305,1819,2,2024
08,Barcelona,08029,Cabrera de Mar,916.4370860927153,755.5629139072847,1175.708609271523,420.14569536423835,302,2,2024
07,"Balears, Illes",07018,Deyá,915.0,689.0,1343.0,654.0,30,1,2024
07,"Balears, Illes",07026,Eivissa,914.0526046986721,703.4630575417092,1227.3369084099422,523.873850868233,5874,2,2024
17,Girona,17061,Das,911.0,781.0,1052.0,271.0,14,1,2024
28,Madrid,28123,Rivas-Vaciamadrid,909.4555873925501,782.3409742120344,1052.2063037249284,269.86532951289394,3490,2,2024
48,Bizkaia,48044,Getxo,908.2805970149253,798.9223880597015,1099.3970149253732,300.4746268656718,2680,2,2024
08,Barcelona,08238,Sant Quirze del Vallès,907.0110701107011,688.6789667896679,1130.339483394834,441.660516605166,813,2,2024
08,Barcelona,08197,Sant Andreu de Llavaneres,901.2145289443814,734.1271282633371,1201.2020431328037,467.0749148694666,881,2,2024
08,Barcelona,08019,Barcelona,899.8721980455298,734.4024755691224,1171.8755439755796,437.4730684064572,143159,2,2024
08,Barcelona,08902,Vilanova del Vallès,896.1428571428571,679.7926267281106,1080.258064516129,400.46543778801845,217,2,2024
28,Madrid,28017,Batres,895.0,600.0,1200.0,600.0,23,1,2024
48,Bizkaia,48016,Berango,893.0,749.6683937823834,1146.0569948186528,396.3886010362694,193,2,2024
28,Madrid,28015,Arroyomolinos,886.9318181818181,763.2215909090909,1024.4829545454545,261.2613636363636,1232,2,2024
07,"Balears, Illes",07024,Formentera,883.9616519174041,664.2817109144543,1175.6637168141592,511.38200589970495,678,2,2024
17,Girona,17090,Llambilles,882.0,506.0,1359.0,853.0,10,1,2024
07,"Balears, Illes",07046,Sant Antoni de Portmany,880.0,650.0,1153.4,503.4000000000001,2470,2,2024
17,Girona,17126,Parlavà,875.0,550.0,1025.0,475.0,15,1,2024
17,Girona,17069,Fontanals de Cerdanya,875.0,721.0,996.0,275.0,28,1,2024
08,Barcelona,08126,Montgat,874.4763358778625,714.6503816793893,1071.9679389312978,357.3175572519085,655,2,2024
28,Madrid,28079,Madrid,873.3207560216665,700.5347470323844,1180.2670508240176,479.73230379163317,303695,2,2024
20,Gipuzkoa,20903,Astigarraga,868.574074074074,776.4656084656085,1020.3597883597884,243.89417989417984,378,2,2024
28,Madrid,28134,San Sebastián de los Reyes,868.2474798387096,716.7842741935484,1046.8215725806451,330.0372983870967,5952,2,2024
08,Barcelona,08069,Collbató,863.1594202898551,674.6086956521739,1146.144927536232,471.5362318840581,138,2,2024
08,Barcelona,08118,"Masnou, El",859.9205584978334,704.9879634087627,1074.294174289841,369.3062108810784,2077,2,2024
07,"Balears, Illes",07036,Marratxí,857.0394207562349,657.7329042638777,1137.0893000804506,479.3563958165729,1243,2,2024
20,Gipuzkoa,20079,Zarautz,856.8666666666667,748.8952380952381,1006.8095238095239,257.9142857142857,1365,2,2024
17,Girona,17068,Foixà,850.0,577.0,1375.0,798.0,12,1,2024
17,Girona,17073,Fornells de la Selva,849.9444444444445,682.1851851851852,1019.5370370370371,337.35185185185185,108,2,2024
48,Bizkaia,48903,Loiu,849.7272727272727,607.25,1076.2727272727273,469.02272727272725,44,2,2024
48,Bizkaia,48089,Urduliz,848.0,750.0,948.0,198.0,164,1,2024
08,Barcelona,08244,Santa Coloma de Cervelló,846.7555555555556,710.0444444444445,1022.0730158730158,312.02857142857135,315,2,2024
08,Barcelona,08077,Esplugues de Llobregat,838.9429347826087,687.5407608695652,1033.9313858695652,346.390625,2944,2,2024
08,Barcelona,08089,Gavà,838.4046028210839,695.1744617668894,1075.8285077951002,380.6540460282108,2694,2,2024
48,Bizkaia,48085,Sopela,836.1143984220907,756.6942800788954,929.3195266272189,172.6252465483235,507,2,2024
46,Valencia/Valéncia,46216,Rocafort,835.8975903614457,637.3493975903615,1105.2791164658634,467.92971887550186,498,2,2024
11,Cádiz,11030,Rota,835.8133802816901,651.6455399061033,1356.9600938967137,705.3145539906104,2556,2,2024
29,Málaga,29069,Marbella,829.629373530632,633.8888120591896,1133.5548333563822,499.66602129719263,7231,2,2024
48,Bizkaia,48054,Leioa,826.465306122449,730.4857142857143,952.9663265306123,222.480612244898,980,2,2024
