COD_PROVINCIA,province_name,analysis_window,baseline_note,baseline_year,current_year,baseline_rent_eur_month,current_rent_eur_month,rent_change_eur_month,rent_growth_total_pct,rent_growth_annual_pct,growth_total_pct,growth_annual_pct,recent_start_year,recent_start_rent_eur_month,growth_recent_pct,growth_recent_annual_pct,pre_start_year,pre_end_year,pre_start_rent_eur_month,pre_end_rent_eur_month,growth_pre_pct,growth_pre_annual_pct,acceleration_pp_year,trajectory_class,trajectory_description,series_complete_2011_2019,first_year_available,years_available,baseline_rental_homes,current_rental_homes,baseline_municipalities,current_municipalities,baseline_municipal_spread_eur,current_municipal_spread_eur,growth_class,has_growth_history
46,Valencia/Valéncia,2019-2024,Comparacion exacta,2019.0,2024,446.89,590.98,144.08,32.24,5.75,32.24,5.75,2021,486.51,21.47,6.7,2011,2019,414.85,446.89,7.72,0.93,5.76,Subida extrema,Subida total en el quintil superior.,True,2011,14,112579.0,149388,180.0,197,101.86,158.24,Crecimiento muy alto,True
12,Castellón/Castelló,2019-2024,Comparacion exacta,2019.0,2024,346.94,444.43,97.49,28.1,5.08,28.1,5.08,2021,369.63,20.24,6.34,2011,2019,337.3,346.94,2.86,0.35,5.98,Subida extrema,Subida total en el quintil superior.,True,2011,14,25929.0,33810,54.0,63,68.06,99.28,Crecimiento muy alto,True
29,Málaga,2019-2024,Comparacion exacta,2019.0,2024,542.48,687.45,144.96,26.72,4.85,26.72,4.85,2021,579.22,18.68,5.88,2011,2019,485.21,542.48,11.8,1.4,4.47,Subida extrema,Subida total en el quintil superior.,True,2011,14,55523.0,72989,47.0,66,163.08,217.64,Crecimiento muy alto,True
03,Alicante,2019-2024,Comparacion exacta,2019.0,2024,423.2,528.2,105.0,24.81,4.53,24.81,4.53,2021,449.52,17.5,5.52,2011,2019,388.75,423.2,8.86,1.07,4.46,Subida extrema,Subida total en el quintil superior.,True,2011,14,64168.0,89563,95.0,107,130.47,131.96,Crecimiento muy alto,True
19,Guadalajara,2019-2024,Comparacion exacta,2019.0,2024,463.85,575.67,111.82,24.11,4.41,24.11,4.41,2021,498.51,15.48,4.91,2011,2019,487.92,463.85,-4.93,-0.63,5.54,Rebote post-2021,Venia de caidas o estancamiento y repunta desde 2021.,True,2011,14,12774.0,15621,40.0,49,158.52,201.51,Crecimiento muy alto,True
04,Almería,2019-2024,Comparacion exacta,2019.0,2024,374.08,462.43,88.34,23.62,4.33,23.62,4.33,2021,396.65,16.58,5.25,2011,2019,380.25,374.08,-1.62,-0.2,5.45,Rebote post-2021,Venia de caidas o estancamiento y repunta desde 2021.,True,2011,14,18418.0,24292,37.0,43,47.38,92.89,Crecimiento muy alto,True
38,Santa Cruz de Tenerife,2019-2024,Comparacion exacta,2019.0,2024,453.12,559.84,106.72,23.55,4.32,23.55,4.32,2021,476.81,17.41,5.5,2011,2019,401.39,453.12,12.89,1.53,3.97,Subida extrema,Subida total en el quintil superior.,True,2011,14,45521.0,55876,52.0,53,88.22,86.25,Crecimiento muy alto,True
07,"Balears, Illes",2019-2024,Comparacion exacta,2019.0,2024,618.64,762.78,144.13,23.3,4.28,23.3,4.28,2021,649.75,17.4,5.49,2011,2019,488.55,618.64,26.63,3.0,2.5,Subida extrema,Subida total en el quintil superior.,True,2011,14,74920.0,87703,65.0,66,150.03,179.29,Crecimiento muy alto,True
45,Toledo,2019-2024,Comparacion exacta,2019.0,2024,397.66,490.07,92.41,23.24,4.27,23.24,4.27,2021,428.24,14.44,4.6,2011,2019,420.96,397.66,-5.53,-0.71,5.31,Rebote post-2021,Venia de caidas o estancamiento y repunta desde 2021.,True,2011,14,22867.0,31226,116.0,137,102.02,142.95,Crecimiento muy alto,True
05,Ávila,2019-2024,Comparacion exacta,2019.0,2024,346.47,426.15,79.68,23.0,4.23,23.0,4.23,2021,366.11,16.4,5.19,2011,2019,348.73,346.47,-0.65,-0.08,5.27,Rebote post-2021,Venia de caidas o estancamiento y repunta desde 2021.,True,2011,14,5662.0,7522,28.0,33,59.68,94.31,Crecimiento muy alto,True
