COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur
01,Araba/Álava,2024,11117,21,474.0,565.6945244956772,697.528110101646,91.69452449567723
02,Albacete,2011,7369,20,223.75,313.49403895423313,410.21780431537525,89.74403895423313
02,Albacete,2012,7366,17,245.0,312.4352517985611,393.01574803149606,67.43525179856113
02,Albacete,2013,7564,19,234.33527131782947,299.5914396887159,369.1758328926494,65.25616837088646
02,Albacete,2014,8100,22,242.8653846153846,300.0,369.8702469135803,57.13461538461539
02,Albacete,2015,8759,23,232.73115137346582,300.0,366.8743007192602,67.26884862653418
02,Albacete,2016,9409,25,231.61290322580646,300.0,367.4986714847486,68.38709677419354
02,Albacete,2017,10269,27,249.5424836601307,300.0,368.01256208004673,50.4575163398693
02,Albacete,2018,11128,29,250.0,300.0,372.3719446441409,50.0
02,Albacete,2019,11865,33,250.0,312.0,404.8545301306363,62.0
02,Albacete,2020,12549,35,254.12065217391304,318.16666666666663,408.9289983265599,64.04601449275359
02,Albacete,2021,13132,36,268.93589743589746,325.86392405063293,415.7766524520256,56.92802661473547
02,Albacete,2022,13563,37,262.0,325.0,438.67772616677723,63.0
02,Albacete,2023,14225,35,269.5,339.12687487158416,450.0842882249561,69.62687487158416
02,Albacete,2024,14821,36,275.5,345.86805555555554,474.1211794075973,70.36805555555554
03,Alicante,2011,27317,67,293.44,397.2142857142857,388.75275469487866,103.77428571428572
03,Alicante,2012,29699,68,278.56998738965956,391.06,377.8873362739486,112.49001261034044
03,Alicante,2013,33196,71,273.82183908045977,375.02287581699346,371.5532895529582,101.2010367365337
03,Alicante,2014,38298,73,263.14207650273227,371.94409547738695,368.73886364823227,108.80201897465469
03,Alicante,2015,44279,79,267.57237871674494,387.26108823118807,370.71178210890037,119.68870951444313
03,Alicante,2016,49236,79,275.6863855674428,383.5927950752273,375.73722479486554,107.90640950778447
03,Alicante,2017,54661,84,282.3091976516634,400.55555555555554,381.15252190775874,118.24635790389215
03,Alicante,2018,59047,90,292.6887755102041,409.2671497584541,395.45804189882637,116.57837424824999
