route_id,route_short_name,mode,from_stop,to_stop,stop_count,source
0100751003VRX,MD,Media distancia,Osuna,Sevilla-Santa Justa,8,Renfe Data GTFS alta/larga/media
0203055020VRX,MD,Media distancia,Antequera AV,Algeciras,18,Renfe Data GTFS alta/larga/media
0310017000VRX,MD,Media distancia,Jaen,Madrid-Chamartín-Clara Campoamor,13,Renfe Data GTFS alta/larga/media
0310050500VRX,MD,Media distancia,Jaen,Cordoba,5,Renfe Data GTFS alta/larga/media
0310051405VRX,MD,Media distancia,Jaen,Cádiz,22,Renfe Data GTFS alta/larga/media
0321303216AV008,AVANT,Alta velocidad,Requena Utiel,Valencia Joaquin Sorolla,2,Renfe Data GTFS alta/larga/media
0321317000AV006,AVE,Alta velocidad,Requena Utiel,Madrid-Chamartín-Clara Campoamor,3,Renfe Data GTFS alta/larga/media
0321317000LC112,AVLO,Alta velocidad,Requena Utiel,Madrid-Chamartín-Clara Campoamor,3,Renfe Data GTFS alta/larga/media
0321360000AV006,AVE,Alta velocidad,Requena Utiel,Madrid Pta.Atocha - Almudena Grandes,3,Renfe Data GTFS alta/larga/media
0321603213AV008,AVANT,Alta velocidad,Valencia Joaquin Sorolla,Requena Utiel,2,Renfe Data GTFS alta/larga/media
0321611014AV006,AVE,Alta velocidad,Valencia Joaquin Sorolla,Burgos Rosa Manzano,4,Renfe Data GTFS alta/larga/media
0321615100AV006,AVE,Alta velocidad,Valencia Joaquin Sorolla,Leon,8,Renfe Data GTFS alta/larga/media
0321617000AV006,AVE,Alta velocidad,Valencia Joaquin Sorolla,Madrid-Chamartín-Clara Campoamor,4,Renfe Data GTFS alta/larga/media
0321617000LC112,AVLO,Alta velocidad,Valencia Joaquin Sorolla,Madrid-Chamartín-Clara Campoamor,4,Renfe Data GTFS alta/larga/media
0321651003AV006,AVE,Alta velocidad,Valencia Joaquin Sorolla,Sevilla-Santa Justa,6,Renfe Data GTFS alta/larga/media
0321665300AV006,AVE,Alta velocidad,Valencia Joaquin Sorolla,Castelló,2,Renfe Data GTFS alta/larga/media
0404010600GL026,Intercity,Larga distancia,Zaragoza-Delicias,Valladolid,6,Renfe Data GTFS alta/larga/media
0404011200GL026,Intercity,Larga distancia,Zaragoza-Delicias,Miranda De Ebro,4,Renfe Data GTFS alta/larga/media
0404011200VRX,MD,Media distancia,Zaragoza-Delicias,Miranda De Ebro,7,Renfe Data GTFS alta/larga/media
0404011208VRX,MD,Media distancia,Zaragoza-Delicias,Vitoria/Gasteiz,6,Renfe Data GTFS alta/larga/media
0404017000VRE,REG.EXP.,Media distancia,Zaragoza-Delicias,Madrid-Chamartín-Clara Campoamor,9,Renfe Data GTFS alta/larga/media
0404017000VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Madrid-Chamartín-Clara Campoamor,14,Renfe Data GTFS alta/larga/media
0404030100GL026,Intercity,Larga distancia,Zaragoza-Delicias,Salamanca,12,Renfe Data GTFS alta/larga/media
0404060000AV006,AVE,Alta velocidad,Zaragoza-Delicias,Madrid Pta.Atocha - Almudena Grandes,2,Renfe Data GTFS alta/larga/media
0404065000VRX,MD,Media distancia,Zaragoza-Delicias,Valencia-Estaciò Del Nord,18,Renfe Data GTFS alta/larga/media
0404067017VRX,MD,Media distancia,Zaragoza-Delicias,Ferreruela,9,Renfe Data GTFS alta/larga/media
0404067200VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Teruel,22,Renfe Data GTFS alta/larga/media
0404070300VRE,REG.EXP.,Media distancia,Zaragoza-Delicias,Baides,7,Renfe Data GTFS alta/larga/media
0404070300VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Baides,11,Renfe Data GTFS alta/larga/media
0404070403VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Arcos De Jalón,25,Renfe Data GTFS alta/larga/media
0404070500VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Ariza,23,Renfe Data GTFS alta/larga/media
0404070600AV008,AVANT,Alta velocidad,Zaragoza-Delicias,Calatayud,2,Renfe Data GTFS alta/larga/media
0404070600VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Calatayud,17,Renfe Data GTFS alta/larga/media
0404071300VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Móra La Nova,18,Renfe Data GTFS alta/larga/media
0404071801AV006,AVE,Alta velocidad,Zaragoza-Delicias,Barcelona-Sants,4,Renfe Data GTFS alta/larga/media
0404071801GL023,ALVIA,Larga distancia,Zaragoza-Delicias,Barcelona-Sants,4,Renfe Data GTFS alta/larga/media
0404074200AV006,AVE,Alta velocidad,Zaragoza-Delicias,Huesca,3,Renfe Data GTFS alta/larga/media
0404074200VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Huesca,7,Renfe Data GTFS alta/larga/media
0404074217VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Canfranc,17,Renfe Data GTFS alta/larga/media
0404078302VRE,REG.EXP.,Media distancia,Zaragoza-Delicias,Binefar,9,Renfe Data GTFS alta/larga/media
0404078302VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Binefar,10,Renfe Data GTFS alta/larga/media
0404078400AV006,AVE,Alta velocidad,Zaragoza-Delicias,Lleida-Pirineus,2,Renfe Data GTFS alta/larga/media
0404078400GL023,ALVIA,Larga distancia,Zaragoza-Delicias,Lleida-Pirineus,2,Renfe Data GTFS alta/larga/media
0404078400VRE,REG.EXP.,Media distancia,Zaragoza-Delicias,Lleida-Pirineus,10,Renfe Data GTFS alta/larga/media
0404078400VRR,REGIONAL,Media distancia,Zaragoza-Delicias,Lleida-Pirineus,11,Renfe Data GTFS alta/larga/media
0404079400VRE,REG.EXP.,Media distancia,Zaragoza-Delicias,Barcelona-Estació De França,32,Renfe Data GTFS alta/larga/media
0430760000AV006,AVE,Alta velocidad,Figueres Vilafant,Madrid Pta.Atocha - Almudena Grandes,8,Renfe Data GTFS alta/larga/media
0430760911GL012,EUROMED,Larga distancia,Figueres Vilafant,Alicante/Alacant,7,Renfe Data GTFS alta/larga/media
0430765000GL012,EUROMED,Larga distancia,Figueres Vilafant,Valencia-Estaciò Del Nord,6,Renfe Data GTFS alta/larga/media
0430771801AV008,AVANT,Alta velocidad,Figueres Vilafant,Barcelona-Sants,3,Renfe Data GTFS alta/larga/media
0430787089AV016,AVE INT,Alta velocidad,Figueres Vilafant,Marseille St Charles,8,Renfe Data GTFS alta/larga/media
0430787303AV016,AVE INT,Alta velocidad,Figueres Vilafant,Lyon Part Dieu,7,Renfe Data GTFS alta/larga/media
0500051003AV008,AVANT,Alta velocidad,Granada,Sevilla-Santa Justa,7,Renfe Data GTFS alta/larga/media
0500054413AV008,AVANT,Alta velocidad,Granada,Malaga Maria Zambrano,4,Renfe Data GTFS alta/larga/media
0500056312VRX,MD,Media distancia,Granada,Almeria,9,Renfe Data GTFS alta/larga/media
0500060000AV006,AVE,Alta velocidad,Granada,Madrid Pta.Atocha - Almudena Grandes,6,Renfe Data GTFS alta/larga/media
0500060000GL023,ALVIA,Larga distancia,Granada,Madrid Pta.Atocha - Almudena Grandes,4,Renfe Data GTFS alta/larga/media
0500071801AV006,AVE,Alta velocidad,Granada,Barcelona-Sants,9,Renfe Data GTFS alta/larga/media
0519321010VRFV,REGIONAL,Media distancia,Ribadeo,Ferrol,52,Renfe Data GTFS alta/larga/media
0545105778VRFV,REGIONAL,Media distancia,Bilbao la Concordia,Feve-Leon,64,Renfe Data GTFS alta/larga/media
0545114223VRFV,REGIONAL,Media distancia,Bilbao la Concordia,Santander,32,Renfe Data GTFS alta/larga/media
0549705451VRFV,REGIONAL,Media distancia,Karrantza,Bilbao la Concordia,13,Renfe Data GTFS alta/larga/media
0557115211VRFV,REGIONAL,Media distancia,Llanes,Oviedo/Uviéu,40,Renfe Data GTFS alta/larga/media
0577805451VRFV,REGIONAL,Media distancia,Feve-Leon,Bilbao la Concordia,55,Renfe Data GTFS alta/larga/media
0600665000GL026,Intercity,Larga distancia,Lorca Sutullena,Valencia-Estaciò Del Nord,11,Renfe Data GTFS alta/larga/media
0700461200GL026,Intercity,Larga distancia,Aguilas,Murcia,3,Renfe Data GTFS alta/larga/media
0800411014AV006,AVE,Alta velocidad,Segovia Guiomar,Burgos Rosa Manzano,3,Renfe Data GTFS alta/larga/media
0800417000AV008,AVANT,Alta velocidad,Segovia Guiomar,Madrid-Chamartín-Clara Campoamor,2,Renfe Data GTFS alta/larga/media
0800430100GL023,ALVIA,Larga distancia,Segovia Guiomar,Salamanca,3,Renfe Data GTFS alta/larga/media
0822311208GL023,ALVIA,Larga distancia,Vigo Urzaiz,Vitoria/Gasteiz,17,Renfe Data GTFS alta/larga/media
0822315100VRM,MD,Media distancia,Vigo Urzaiz,Leon,13,Renfe Data GTFS alta/larga/media
0822317000AV006,AVE,Alta velocidad,Vigo Urzaiz,Madrid-Chamartín-Clara Campoamor,6,Renfe Data GTFS alta/larga/media
