CODIGO,DESCRIPCION,mode,COD_PROVINCIA,POBLACION,node_weight,source,LATITUD,LONGITUD
17000,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,Larga distancia,28,MADRID,2.0,Renfe Data GTFS alta/larga/media,40.4711789,-3.6829524
18000,MADRID-ATOCHA CERCANÍAS,Larga distancia,28,MADRID,2.0,Renfe Data GTFS alta/larga/media,40.4066191,-3.6894391
35001,LEGANÉS,Larga distancia,28,LEGANÉS,2.0,Renfe Data GTFS alta/larga/media,40.328643,-3.7713161
35105,TORRIJOS,Larga distancia,45,TORRIJOS,2.0,Renfe Data GTFS alta/larga/media,39.979003,-4.283037
35200,TALAVERA DE LA REINA,Larga distancia,45,TALAVERA DE LA REINA,2.0,Renfe Data GTFS alta/larga/media,39.970674,-4.826512
35203,OROPESA DE TOLEDO,Larga distancia,45,OROPESA,2.0,Renfe Data GTFS alta/larga/media,39.921746,-5.186137
35206,NAVALMORAL DE LA MATA,Larga distancia,10,NAVALMORAL DE LA MATA,2.0,Renfe Data GTFS alta/larga/media,39.894913,-5.545607
30000,MONFRAGÜE,Larga distancia,10,MALPARTIDA DE PLASENCIA,2.0,Renfe Data GTFS alta/larga/media,39.937464,-6.10091
35400,CÁCERES,Larga distancia,10,CÁCERES,2.0,Renfe Data GTFS alta/larga/media,39.461131,-6.385679
37500,MÉRIDA,Larga distancia,06,MÉRIDA,2.0,Renfe Data GTFS alta/larga/media,38.921503,-6.343794
37603,MONTIJO,Larga distancia,06,MONTIJO,2.0,Renfe Data GTFS alta/larga/media,38.913539,-6.598577
37606,BADAJOZ,Larga distancia,06,BADAJOZ,2.0,Renfe Data GTFS alta/larga/media,38.890696,-6.981753
30002,PLASENCIA,Larga distancia,10,PLASENCIA,2.0,Renfe Data GTFS alta/larga/media,40.022282,-6.099397
60400,ALCÁZAR DE SAN JUAN,Larga distancia,13,ALCÁZAR DE SAN JUAN,2.0,Renfe Data GTFS alta/larga/media,39.395628,-3.205744
50207,VILCHES,Larga distancia,23,VILCHES,2.0,Renfe Data GTFS alta/larga/media,38.215742,-3.517576
50300,LINARES-BAEZA,Larga distancia,23,LINARES,2.0,Renfe Data GTFS alta/larga/media,38.068864,-3.589396
56004,JÓDAR-ÚBEDA,Larga distancia,23,JÓDAR,2.0,Renfe Data GTFS alta/larga/media,37.913343,-3.34892
56009,CABRA DEL SANTO CRISTO Y ALICÚN,Larga distancia,23,CABRA DEL SANTO CRISTO,2.0,Renfe Data GTFS alta/larga/media,37.6567129,-3.262623
56100,MOREDA,Larga distancia,18,MORELÁBOR,2.0,Renfe Data GTFS alta/larga/media,37.431216,-3.310516
56200,GUADIX,Larga distancia,18,GUADIX,2.0,Renfe Data GTFS alta/larga/media,37.316873,-3.127209
56310,HUERCAL-VIATOR,Larga distancia,04,HUÉRCAL DE ALMERÍA,2.0,Renfe Data GTFS alta/larga/media,36.885155,-2.436718
56312,ALMERÍA,Larga distancia,04,ALMERÍA,2.0,Renfe Data GTFS alta/larga/media,36.834951,-2.455519
11200,MIRANDA DE EBRO,Larga distancia,09,MIRANDA DE EBRO,2.0,Renfe Data GTFS alta/larga/media,42.691024,-2.940366
13106,LLODIO,Larga distancia,01,LAUDIO/LLODIO,2.0,Renfe Data GTFS alta/larga/media,43.1423514,-2.9606511
13200,BILBAO-INTERMOD. ABANDO INDALECIO PRIETO,Larga distancia,48,BILBAO,2.0,Renfe Data GTFS alta/larga/media,43.2601304,-2.9285592
11511,SAN SEBASTIÁN-DONOSTIA,Larga distancia,20,DONOSTIA/SAN SEBASTIÁN,2.0,Renfe Data GTFS alta/larga/media,43.3176961,-1.9767172
11400,ZUMARRAGA,Larga distancia,20,ZUMARRAGA,2.0,Renfe Data GTFS alta/larga/media,43.0870824,-2.3202298
11300,ALTSASU,Larga distancia,31,ALTSASU/ALSASUA,2.0,Renfe Data GTFS alta/larga/media,42.894847,-2.181237
11208,VITORIA-GASTEIZ,Larga distancia,01,VITORIA-GASTEIZ,2.0,Renfe Data GTFS alta/larga/media,42.841517,-2.672601
22308,VIGO-GUIXAR,Media distancia,36,VIGO,2.0,Renfe Data GTFS alta/larga/media,42.2392656,-8.7146089
22402,VALENÇA DO MINHO,Media distancia,36,TUI,2.0,Renfe Data GTFS alta/larga/media,42.024734,-8.639745
81002,HARO,Larga distancia,26,HARO,2.0,Renfe Data GTFS alta/larga/media,42.583635,-2.849396
81100,LOGROÑO,Larga distancia,26,LOGROÑO,2.0,Renfe Data GTFS alta/larga/media,42.457459,-2.442193
81108,CALAHORRA,Larga distancia,26,CALAHORRA,2.0,Renfe Data GTFS alta/larga/media,42.310458,-1.957755
81200,CASTEJÓN DE EBRO,Larga distancia,31,CASTEJÓN,2.0,Renfe Data GTFS alta/larga/media,42.172719,-1.692114
81202,TUDELA DE NAVARRA,Larga distancia,31,TUDELA,2.0,Renfe Data GTFS alta/larga/media,42.059434,-1.597931
04040,ZARAGOZA DELICIAS,Larga distancia,50,ZARAGOZA,2.0,Renfe Data GTFS alta/larga/media,41.6586576,-0.9112693
78400,LLEIDA-PIRINEUS,Larga distancia,25,LLEIDA,2.0,Renfe Data GTFS alta/larga/media,41.62013,0.63365328
04104,CAMP DE TARRAGONA,Larga distancia,43,TARRAGONA,2.0,Renfe Data GTFS alta/larga/media,41.192066,1.272666
