stop_a_id,stop_b_id,stop_a,stop_b,distance_km,services,route_count,route_ids,source
31412,99159,A Coruña,Santiago-Turistico,54.3,AVANT,1,2210031412AV008,Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08251,22100,A Gudiña-Porta de Galicia,Ourense,68.6,AVLO,6,"0822317000LC112, 1700008223LC112, 1700022100LC112, 1700031412LC112, 2210017000LC112, 3141217000LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
60600,60911,Albacete-Los Llanos,Alicante/Alacant,138.2,AVE,5,"1060060911AV006, 1510060911AV006, 2210060911AV006, 6091115100AV006, 6091122100AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02030,50500,Antequera AV,Cordoba,97.2,AVE,2,"0500071801AV006, 7180105000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02030,05000,Antequera AV,Granada,86.1,AVE,3,"0500071801AV006, 6000005000AV006, 7180105000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02030,05012,Antequera AV,Loja,41.0,"AVANT, AVE",5,"0500051003AV008, 0500054413AV008, 0500060000AV006, 5100305000AV008, 5441305000AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02030,54413,Antequera AV,Malaga Maria Zambrano,37.6,AVANT,2,"0500054413AV008, 5441305000AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02003,02030,Antequera-Santa Ana,Antequera AV,14.6,"AVANT, AVE",4,"0500051003AV008, 0500060000AV006, 5100305000AV008, 6000005000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02003,50500,Antequera-Santa Ana,Cordoba,91.2,AVE,1,0500060000AV006,Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02003,54413,Antequera-Santa Ana,Malaga Maria Zambrano,47.4,"AVANT, AVE, AVLO",8,"5100354413AV008, 5441351003AV008, 5441360000AV006, 5441360000LC112, 5441371801AV006, 6000054413AV006, 6000054413LC112, 7180154413AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87814,87912,Avignon,Aix en Provence,67.2,AVE INT,4,"0430787089AV016, 6000087089AV016, 8708904307AV016, 8708960000AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
71801,79300,Barcelona-Sants,Girona,87.1,"AVANT, AVE, AVE INT",8,"0430760000AV006, 0430771801AV008, 6000004307AV006, 6000087089AV016, 7180104307AV008, 7180187303AV016, 8708960000AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
62001,62002,Beniel,Orihuela-Miguel Hernández,6.0,AVANT,2,"6091161200VRD, 6120060911VRD",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03412,62002,CALLOSA DE SEGURA - COX,Orihuela-Miguel Hernández,7.9,AVANT,2,"6091161200VRD, 6120060911VRD",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04104,71801,Camp Tarragona,Barcelona-Sants,75.5,"AVANT, AVANT EXP, AVE, AVE INT",20,"0404071801AV006, 0430760000AV006, 0500071801AV006, 5100371801AV006, 5441371801AV006, 6000004307AV006, 6000071801AV006, 6000071801AV016, 6000087089AV016, 6540071801AV008, 7180104040AV006, 7180105000AV006, 7180151003AV006, 7180154413AV006, 7180160000AV006, 7180160000AV016, 7180165400AV008, 7180178400AV008, 7840071801AV008, 8708960000AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04104,65422,Camp Tarragona,Cambrils,22.6,AVANT EXP,2,"6540071801AV008, 7180165400AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04104,78400,Camp Tarragona,Lleida-Pirineus,71.5,"AVANT, AVE",14,"0404071801AV006, 0430760000AV006, 0500071801AV006, 5100371801AV006, 5441371801AV006, 6000004307AV006, 6000071801AV006, 7180104040AV006, 7180105000AV006, 7180151003AV006, 7180154413AV006, 7180160000AV006, 7180178400AV008, 7840071801AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
37200,50500,Ciudad Real,Cordoba,143.9,AVE,2,"5441371801AV006, 7180154413AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
37200,60000,Ciudad Real,Madrid Pta.Atocha - Almudena Grandes,159.2,"AVANT, AVE, AVLO",10,"3730060000AV008, 5100360000AV006, 5100360000LC112, 5441360000AV006, 5441360000LC112, 6000037300AV008, 6000051003AV006, 6000051003LC112, 6000054413AV006, 6000054413LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
37200,37300,Ciudad Real,Puertollano,36.9,"AVANT, AVE, AVLO",16,"0321651003AV006, 0500071801AV006, 3730060000AV008, 5100303216AV006, 5100360000AV006, 5100360000LC112, 5100371801AV006, 5441360000AV006, 5441360000LC112, 6000037300AV008, 6000051003AV006, 6000051003LC112, 6000054413AV006, 6000054413LC112, 7180105000AV006, 7180151003AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
50500,51003,Cordoba,Sevilla-Santa Justa,118.0,"AVANT, AVE, AVLO",14,"0321651003AV006, 0500051003AV008, 5050051003AV008, 5100303216AV006, 5100305000AV008, 5100350500AV008, 5100354413AV008, 5100360000AV006, 5100360000LC112, 5100371801AV006, 5441351003AV008, 6000051003AV006, 6000051003LC112, 7180151003AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,60600,Cuenca Fernando Zobel,Albacete-Los Llanos,117.9,"AVANT, AVE, AVLO",17,"1060060911AV006, 1060060911LC112, 1510060911AV006, 1700060911AV006, 1700061200LC112, 2210060911AV006, 6000060911AV006, 6000061200AV006, 6060092102AV008, 6091115100AV006, 6091117000AV006, 6091117000LC112, 6091122100AV006, 6091160000AV006, 6120010600LC112, 6120060000AV006, 9210260600AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,60000,Cuenca Fernando Zobel,Madrid Pta.Atocha - Almudena Grandes,137.6,"AVANT, AVE",10,"0321360000AV006, 6000003213AV006, 6000060911AV006, 6000061200AV006, 6000065300AV006, 6060092102AV008, 6091160000AV006, 6120060000AV006, 6530060000AV006, 9210260600AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,17000,Cuenca Fernando Zobel,Madrid-Chamartín-Clara Campoamor,139.3,"AVE, AVLO",23,"0321317000AV006, 0321317000LC112, 0321615100AV006, 0321617000AV006, 0321617000LC112, 1060060911AV006, 1060060911LC112, 1510003216AV006, 1510060911AV006, 1541065300AV006, 1700003213AV006, 1700003213LC112, 1700003216AV006, 1700003216LC112, 1700060911AV006, 1700061200LC112, 2210060911AV006, 6091115100AV006, 6091117000AV006, 6091117000LC112, 6091122100AV006, 6120010600LC112, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
