COD_PROVINCIA,province_name,population,transport_nodes,weighted_transport_nodes,high_speed_nodes,long_distance_nodes,medium_distance_nodes,av_ld_md_nodes,cercanias_nodes,feve_nodes,airport_nodes,nodes_per_100k,nearest_strategic_km,strategic_access_score,node_mass_score,node_density_score,mobility_score,label_lat,label_lon,area_km2
01,Araba/Álava,336686,16,26.0,0,2,6,8,7,0,1,7.72,3.09,96.91,38.97,13.63,59.98,42.86,-2.72,3039.8
02,Albacete,387174,12,25.0,1,3,7,11,0,0,1,6.46,20.33,79.67,38.2,11.23,51.47,38.77,-1.8,14924.0
03,Alicante/Alacant,1950357,45,77.0,5,6,19,30,14,0,1,3.95,8.07,91.93,60.62,6.48,63.88,38.34,-0.7,5819.6
04,Almería,753920,8,17.0,0,2,5,7,0,0,1,2.25,45.11,54.89,30.7,3.27,36.1,37.32,-2.16,8779.3
05,Ávila,158407,10,20.0,0,0,10,10,0,0,0,12.63,20.13,79.87,33.84,22.92,52.37,40.64,-4.98,8051.9
06,Badajoz,665089,28,57.0,0,3,24,27,0,0,1,8.57,13.78,86.22,54.58,15.24,60.95,38.77,-6.11,21765.7
07,"Balears, Illes",1197261,4,12.0,0,0,0,0,0,0,4,1.0,13.26,86.74,24.06,0.9,47.63,39.6,2.88,4991.8
08,Barcelona,5805500,124,147.0,1,1,17,19,103,0,2,2.53,7.43,92.57,73.7,3.8,68.21,41.77,1.89,7729.7
09,Burgos,357180,42,68.0,1,2,21,24,2,15,1,19.04,5.89,94.11,58.12,35.07,69.7,42.32,-3.67,14291.0
10,Cáceres,387434,14,28.0,0,4,10,14,0,0,0,7.23,8.49,91.51,40.43,12.69,57.87,39.71,-6.36,19865.8
11,Cádiz,1250539,51,76.0,0,6,15,21,28,0,2,6.08,25.6,74.4,60.36,10.52,56.71,36.46,-5.92,7439.9
12,Castellón/Castelló,603952,45,70.0,1,5,17,23,21,0,1,11.59,16.0,84.0,58.71,20.96,62.54,40.26,-0.1,6634.0
13,Ciudad Real,491127,23,46.0,2,6,15,23,0,0,0,9.37,2.71,97.29,50.29,16.74,64.73,38.96,-3.9,19811.3
14,Córdoba,773997,13,27.0,3,1,8,12,0,0,1,3.49,6.88,93.12,39.71,5.61,56.93,37.94,-4.82,13773.1
15,"Coruña, A",1123426,112,176.0,3,2,55,60,24,26,2,15.67,15.35,84.65,77.35,28.68,70.9,43.12,-8.6,7947.0
16,Cuenca,197139,2,4.0,1,1,0,2,0,0,0,2.03,12.49,87.51,4.55,2.85,41.54,39.94,-2.22,17140.4
17,Girona,809266,59,86.0,2,2,21,25,33,0,1,10.63,13.07,86.93,62.85,19.13,64.95,42.11,2.76,5911.2
18,Granada,930181,11,23.0,2,3,5,10,0,0,1,2.47,11.51,88.49,36.57,3.69,53.36,37.33,-3.43,12648.2
19,Guadalajara,274598,14,26.0,1,1,10,12,2,0,0,9.47,32.2,67.8,38.97,16.94,47.54,40.8,-2.5,12212.9
20,Gipuzkoa,728027,44,69.0,0,4,19,23,20,0,1,9.48,8.04,91.96,58.42,16.96,65.22,43.12,-2.23,1978.8
21,Huelva,530824,18,36.0,0,2,16,18,0,0,0,6.78,3.42,96.58,45.4,11.85,61.72,37.45,-6.91,10126.5
22,Huesca,227077,19,39.0,2,0,16,18,0,0,1,17.17,26.89,73.11,46.99,31.54,55.65,42.17,-0.02,15633.2
23,Jaén,620242,12,24.0,0,4,8,12,0,0,0,3.87,10.09,89.91,37.4,6.33,54.82,37.99,-3.4,13496.7
24,León,447463,139,194.0,1,9,43,53,42,43,1,43.36,9.55,90.45,79.33,81.13,84.69,42.55,-5.86,15577.8
25,Lleida,446793,49,68.0,1,1,15,17,31,0,1,15.22,51.1,48.9,58.12,27.83,47.91,42.13,1.21,12169.1
26,"Rioja, La",322490,13,27.0,0,5,7,12,0,0,1,8.37,21.42,78.58,39.71,14.86,52.23,42.28,-2.55,5046.8
27,Lugo,323956,69,113.0,0,4,40,44,0,25,0,34.88,15.49,84.51,68.37,65.08,74.97,43.05,-7.37,9858.9
28,Madrid,6859914,131,188.0,2,4,47,53,76,0,2,2.74,4.27,95.73,78.69,4.19,71.46,40.5,-3.82,8030.4
29,Málaga,1751600,43,73.0,3,3,22,28,14,0,1,4.17,1.28,98.72,59.55,6.9,66.65,36.83,-4.7,7311.5
30,Murcia,1552457,60,78.0,2,10,4,16,28,15,1,5.02,29.1,70.9,60.88,8.52,54.92,38.03,-1.65,11316.1
31,Navarra,671746,22,43.0,0,5,14,19,2,0,1,6.4,8.88,91.12,48.94,11.13,60.36,42.59,-1.73,10390.7
32,Ourense,304550,23,45.0,3,4,15,22,1,0,0,14.78,25.34,74.66,49.85,26.99,56.44,42.25,-7.48,7274.0
33,Asturias,1005283,421,536.0,4,5,104,113,143,164,1,53.32,1.75,98.25,100.0,100.0,99.21,43.33,-5.98,10603.9
34,Palencia,157752,43,76.0,1,2,30,33,2,8,0,48.18,22.22,77.78,60.36,90.26,74.18,42.36,-4.64,8051.6
35,"Palmas, Las",1140258,2,6.0,0,0,0,0,0,0,2,0.53,22.56,77.44,11.42,0.0,38.84,27.96,-15.61,4068.3
36,Pontevedra,944245,33,67.0,3,3,26,32,0,0,1,7.1,3.97,96.03,57.82,12.44,65.94,42.36,-8.57,4492.9
37,Salamanca,327170,15,31.0,0,2,12,14,0,0,1,9.48,31.03,68.97,42.44,16.95,49.28,40.81,-5.97,12351.3
38,Santa Cruz de Tenerife,1061790,5,15.0,0,0,0,0,0,0,5,1.41,22.88,77.12,28.29,1.68,44.94,28.25,-16.59,3380.1
39,Cantabria,588419,178,224.0,0,3,41,44,77,56,1,38.07,2.82,97.18,82.25,71.11,86.74,43.1,-4.06,5323.5
