COD_PROVINCIA,province_name,population,crime_total,crime_rate_per_1000,safety_score,safety_reading,label_lat,label_lon
01,Araba/Álava,336686,16216,48.16,49.7,Presion media,42.86,-2.72
02,Albacete,387174,15438,39.87,71.43,Presion media-baja,38.77,-1.8
03,Alicante/Alacant,1950357,104682,53.67,35.26,Presion alta,38.34,-0.7
04,Almería,753920,34124,45.26,57.3,Presion media,37.32,-2.16
05,Ávila,158407,6722,42.43,64.71,Presion media,40.64,-4.98
06,Badajoz,665089,23395,35.18,83.74,Presion media-baja,38.77,-6.11
07,"Balears, Illes",1197261,80365,67.12,0.0,Presion muy alta,39.6,2.88
08,Barcelona,5805500,388702,66.95,0.45,Presion muy alta,41.77,1.89
09,Burgos,357180,14000,39.2,73.2,Presion media-baja,42.32,-3.67
10,Cáceres,387434,11248,29.03,99.85,Presion baja,39.71,-6.36
11,Cádiz,1250539,56839,45.45,56.81,Presion media,36.46,-5.92
12,Castellón/Castelló,603952,28841,47.75,50.77,Presion media,40.26,-0.1
13,Ciudad Real,491127,15523,31.61,93.1,Presion baja,38.96,-3.9
14,Córdoba,773997,31242,40.36,70.14,Presion media-baja,37.94,-4.82
15,"Coruña, A",1123426,42770,38.07,76.15,Presion media-baja,43.12,-8.6
16,Cuenca,197139,6844,34.72,84.95,Presion media-baja,39.94,-2.22
17,Girona,809266,50239,62.08,13.22,Presion alta,42.11,2.76
18,Granada,930181,41013,44.09,60.37,Presion media,37.33,-3.43
19,Guadalajara,274598,12240,44.57,59.11,Presion media,40.8,-2.5
20,Gipuzkoa,728027,33422,45.91,55.61,Presion media,43.12,-2.23
21,Huelva,530824,23173,43.65,61.52,Presion media,37.45,-6.91
22,Huesca,227077,8711,38.36,75.39,Presion media-baja,42.17,-0.02
23,Jaén,620242,20379,32.86,89.82,Presion media-baja,37.99,-3.4
24,León,447463,17078,38.17,75.9,Presion media-baja,42.55,-5.86
25,Lleida,446793,22930,51.32,41.42,Presion media,42.13,1.21
26,"Rioja, La",322490,11965,37.1,78.69,Presion media-baja,42.28,-2.55
27,Lugo,323956,9386,28.97,100.0,Presion baja,43.05,-7.37
28,Madrid,6859914,399972,58.31,23.11,Presion alta,40.5,-3.82
29,Málaga,1751600,102475,58.5,22.6,Presion alta,36.83,-4.7
30,Murcia,1552457,74549,48.02,50.07,Presion media,38.03,-1.65
31,Navarra,671746,35866,53.39,35.99,Presion alta,42.59,-1.73
32,Ourense,304550,9462,31.07,94.51,Presion baja,42.25,-7.48
33,Asturias,1005283,34435,34.25,86.16,Presion media-baja,43.33,-5.98
34,Palencia,157752,5232,33.17,89.01,Presion media-baja,42.36,-4.64
35,"Palmas, Las",1140258,56110,49.21,46.96,Presion media,27.96,-15.61
36,Pontevedra,944245,33787,35.78,82.15,Presion media-baja,42.36,-8.57
37,Salamanca,327170,12137,37.1,78.71,Presion media-baja,40.81,-5.97
38,Santa Cruz de Tenerife,1061790,51145,48.17,49.69,Presion media,28.25,-16.59
39,Cantabria,588419,24788,42.13,65.52,Presion media,43.1,-4.06
40,Segovia,155258,6310,40.64,69.41,Presion media-baja,41.12,-4.05
41,Sevilla,1957210,100453,51.32,41.41,Presion media,37.51,-5.83
42,Soria,89482,3564,39.83,71.54,Presion media-baja,41.57,-2.6
43,Tarragona,847566,48181,56.85,26.94,Presion alta,41.03,0.67
44,Teruel,135237,4005,29.61,98.32,Presion baja,40.57,-1.04
45,Toledo,728496,33537,46.04,55.28,Presion media,39.79,-4.14
46,Valencia/València,2656291,150136,56.52,27.79,Presion alta,39.34,-0.75
47,Valladolid,521071,20952,40.21,70.55,Presion media-baja,41.71,-4.91
48,Bizkaia,1154306,58525,50.7,43.05,Presion media,43.24,-2.72
49,Zamora,166366,5632,33.85,87.21,Presion media-baja,41.73,-5.79
50,Zaragoza,977413,40910,41.86,66.23,Presion media-baja,41.81,-1.2
51,Ceuta,83039,3573,43.03,63.16,Presion media,35.89,-5.36
52,Melilla,85491,4390,51.35,41.35,Presion media,35.29,-2.95
