CMUN,COD_PROVINCIA,municipality_name_crime,population,crime_total,crime_rate_per_1000,safety_reading,lat,lon
04003,04,Adra,25195,1149,45.6,Presion media,36.77,-3.06
04013,04,Almería,200578,9867,49.19,Presion media,36.85,-2.37
04902,04,Ejido (El),89975,4064,45.17,Presion media,36.75,-2.8
04053,04,Huércal-Overa,20425,686,33.59,Presion media-baja,37.43,-1.91
04066,04,Níjar,32858,1721,52.38,Presion alta,36.88,-2.1
04079,04,Roquetas de Mar,106510,6410,60.18,Presion alta,36.78,-2.63
04102,04,Vícar,28245,1369,48.47,Presion media,36.81,-2.64
11004,11,Algeciras,123639,5523,44.67,Presion media,36.11,-5.48
11006,11,Arcos de la Frontera,30953,766,24.75,Presion baja,36.74,-5.78
11007,11,Barbate,22811,1206,52.87,Presion alta,36.19,-5.85
11008,11,Barrios (Los),24219,1316,54.34,Presion alta,36.23,-5.57
11012,11,Cádiz,111811,5568,49.8,Presion media,36.49,-6.27
11015,11,Chiclana de la Frontera,88709,4133,46.59,Presion media,36.4,-6.12
11014,11,Conil de la Frontera,23661,1170,49.45,Presion media,36.3,-6.07
11020,11,Jerez de la Frontera,213231,11211,52.58,Presion alta,36.66,-6.04
11022,11,Línea de la Concepción (La),63773,2369,37.15,Presion media-baja,36.21,-5.34
11027,11,Puerto de Santa María (El),89813,5122,57.03,Presion alta,36.63,-6.23
11028,11,Puerto Real,42069,1351,32.11,Presion media-baja,36.54,-6.09
11030,11,Rota,29675,1547,52.13,Presion alta,36.67,-6.36
11031,11,San Fernando,93927,4018,42.78,Presion media,36.45,-6.21
11033,11,San Roque,33646,1742,51.77,Presion media,36.25,-5.36
11032,11,Sanlúcar de Barrameda,69805,3187,45.66,Presion media,36.81,-6.29
14013,14,Cabra,20070,856,42.65,Presion media,37.48,-4.46
14021,14,Córdoba,323763,16469,50.87,Presion media,37.85,-4.69
14038,14,Lucena,42813,2432,56.81,Presion alta,37.37,-4.54
14042,14,Montilla,22298,642,28.79,Presion baja,37.57,-4.65
14049,14,Palma del Río,20688,873,42.2,Presion media,37.67,-5.28
14055,14,Priego de Córdoba,22003,449,20.41,Presion baja,37.46,-4.17
14056,14,Puente Genil,29781,1098,36.87,Presion media-baja,37.41,-4.76
18017,18,Almuñécar,27305,1628,59.62,Presion alta,36.78,-3.73
18021,18,Armilla,25059,1820,72.63,Presion muy alta,37.15,-3.62
18022,18,Atarfe,20024,983,49.09,Presion media,37.25,-3.71
18023,18,Baza,20579,904,43.93,Presion media,37.42,-2.84
18905,18,Gabias (Las),22829,913,39.99,Presion media-baja,37.13,-3.7
18087,18,Granada,230595,13248,57.45,Presion alta,37.18,-3.58
18122,18,Loja,20580,643,31.24,Presion baja,37.15,-4.19
18127,18,Maracena,22275,918,41.21,Presion media-baja,37.21,-3.64
18140,18,Motril,58939,2530,42.93,Presion media,36.75,-3.49
21002,21,Aljaraque,22259,559,25.11,Presion baja,37.28,-7.02
21005,21,Almonte,25233,1973,78.19,Presion muy alta,37.05,-6.53
21010,21,Ayamonte,21645,903,41.72,Presion media-baja,37.28,-7.4
21021,21,Cartaya,21128,1252,59.26,Presion alta,37.32,-7.14
21041,21,Huelva,142532,7750,54.37,Presion alta,37.26,-6.94
21042,21,Isla Cristina,21603,833,38.56,Presion media-baja,37.23,-7.28
21044,21,Lepe,28813,1989,69.03,Presion muy alta,37.29,-7.23
21050,21,Moguer,22956,882,38.42,Presion media-baja,37.2,-6.81
23002,23,Alcalá la Real,21587,719,33.31,Presion media-baja,37.45,-3.93
23005,23,Andújar,35788,907,25.34,Presion baja,38.2,-4.03
23050,23,Jaén,111888,4645,41.51,Presion media-baja,37.78,-3.75
23055,23,Linares,55096,1791,32.51,Presion media-baja,38.09,-3.62
23060,23,Martos,24363,813,33.37,Presion media-baja,37.67,-3.98
23092,23,Úbeda,33810,1037,30.67,Presion baja,37.99,-3.35
29007,29,Alhaurín de la Torre,43674,1389,31.8,Presion baja,36.66,-4.58
29008,29,Alhaurín el Grande,26879,861,32.03,Presion media-baja,36.65,-4.68
29015,29,Antequera,41178,1455,35.33,Presion media-baja,37.04,-4.62
29025,29,Benalmádena,75801,4391,57.93,Presion alta,36.6,-4.56
29038,29,Cártama,28412,1126,39.63,Presion media-baja,36.75,-4.62
29042,29,Coín,25023,980,39.16,Presion media-baja,36.68,-4.76
29051,29,Estepona,76975,5081,66.01,Presion muy alta,36.47,-5.14
29054,29,Fuengirola,85598,6353,74.22,Presion muy alta,36.55,-4.62
29067,29,Málaga,586384,37519,63.98,Presion alta,36.77,-4.44
29069,29,Marbella,156295,13803,88.31,Presion muy alta,36.51,-4.89
29070,29,Mijas,91691,5807,63.33,Presion alta,36.55,-4.69
29075,29,Nerja,21913,1423,64.94,Presion alta,36.78,-3.82
29082,29,Rincón de la Victoria,51300,1800,35.09,Presion media-baja,36.73,-4.28
29084,29,Ronda,33329,1532,45.97,Presion media,36.78,-5.23
29901,29,Torremolinos,70434,5537,78.61,Presion muy alta,36.62,-4.52
29091,29,Torrox,20932,1025,48.97,Presion media,36.77,-3.96
29094,29,Vélez-Málaga,85377,4556,53.36,Presion alta,36.8,-4.11
41004,41,Alcalá de Guadaíra,76547,3708,48.44,Presion media,37.27,-5.81
41017,41,Bormujos,22780,818,35.91,Presion media-baja,37.36,-6.09
41021,41,Camas,28157,1505,53.45,Presion alta,37.4,-6.04
41024,41,Carmona,29551,1767,59.79,Presion alta,37.44,-5.62
41034,41,Coria del Río,30887,1567,50.73,Presion media,37.25,-6.03
41038,41,Dos Hermanas,138981,6625,47.67,Presion media,37.26,-5.94
41039,41,Écija,39530,1448,36.63,Presion media-baja,37.53,-5.11
41053,41,Lebrija,27727,1093,39.42,Presion media-baja,36.94,-6.09
41058,41,Mairena del Alcor,24125,646,26.78,Presion baja,37.35,-5.73
41059,41,Mairena del Aljarafe,47541,2007,42.22,Presion media,37.34,-6.06
41065,41,Morón de la Frontera,27229,1142,41.94,Presion media-baja,37.12,-5.45
41069,41,Palacios y Villafranca (Los),38698,1506,38.92,Presion media-baja,37.14,-5.92
41081,41,Rinconada (La),40162,1287,32.05,Presion media-baja,37.46,-5.9
41086,41,San Juan de Aznalfarache,22472,1884,83.84,Presion muy alta,37.37,-6.03
41091,41,Sevilla,684025,51147,74.77,Presion muy alta,37.38,-5.94
41093,41,Tomares,25374,728,28.69,Presion baja,37.37,-6.05
41095,41,Utrera,51718,2240,43.31,Presion media,37.09,-5.73
22125,22,Huesca,54136,2203,40.69,Presion media-baja,42.13,-0.44
44216,44,Teruel,36267,1027,28.32,Presion baja,40.36,-1.13
50297,50,Zaragoza,682513,28515,41.78,Presion media-baja,41.68,-0.99
33004,33,Avilés,75518,2334,30.91,Presion baja,43.57,-5.92
33016,33,Castrillón,22103,649,29.36,Presion baja,43.55,-5.99
33024,33,Gijón,268313,9879,36.82,Presion media-baja,43.5,-5.69
33031,33,Langreo,37978,1448,38.13,Presion media-baja,43.28,-5.7
33037,33,Mieres,36195,1147,31.69,Presion baja,43.24,-5.77
33044,33,Oviedo,217584,7551,34.7,Presion media-baja,43.34,-5.9
33066,33,Siero,52194,1979,37.92,Presion media-baja,43.4,-5.64
07026,07,Eivissa,51996,4616,88.78,Presion muy alta,38.91,1.42
07046,07,Sant Antoni de Portmany,28237,2460,87.12,Presion muy alta,39.0,1.34
07048,07,Sant Josep de sa Talaia,29506,3067,103.94,Presion muy alta,38.9,1.31
07054,07,Santa Eulària des Riu,41228,2448,59.38,Presion alta,38.99,1.5
07003,07,Alcudia,21322,1292,60.59,Presion alta,39.85,3.12
07011,07,Calvià,53162,4750,89.35,Presion muy alta,39.55,2.51
07027,07,Inca,34577,1311,37.92,Presion media-baja,39.71,2.94
07031,07,Llucmajor,39040,2589,66.32,Presion muy alta,39.45,2.85
07033,07,Manacor,46395,2253,48.56,Presion media,39.56,3.26
07036,07,Marratxí,39440,1829,46.37,Presion media,39.62,2.73
07040,07,Palma,423350,35540,83.95,Presion muy alta,39.58,2.71
07015,07,Ciutadella de Menorca,31443,1498,47.64,Presion media,39.99,3.9
07032,07,Maó-Mahón,29902,1171,39.16,Presion media-baja,39.92,4.24
35014,35,Oliva (La),29099,1836,63.09,Presion alta,28.63,-13.93
35015,35,Pájara,21271,1365,64.17,Presion alta,28.25,-14.18
35017,35,Puerto del Rosario,43390,2601,59.94,Presion alta,28.51,-13.94
35002,35,Agüimes,32643,1381,42.31,Presion media,27.91,-15.49
35006,35,Arucas,38601,1244,32.23,Presion media-baja,28.12,-15.52
35009,35,Gáldar,24678,813,32.94,Presion media-baja,28.09,-15.65
35011,35,Ingenio,32354,1060,32.76,Presion media-baja,27.94,-15.45
35012,35,Mogán,20845,1787,85.73,Presion muy alta,27.85,-15.72
35016,35,Palmas de Gran Canaria (Las),378027,19691,52.09,Presion alta,28.09,-15.46
35019,35,San Bartolomé de Tirajana,53912,4401,81.63,Presion muy alta,27.85,-15.6
35022,35,Santa Lucía de Tirajana,75677,3004,39.7,Presion media-baja,27.87,-15.52
35026,35,Telde,102487,5104,49.8,Presion media,27.97,-15.44
35004,35,Arrecife,64826,2788,43.01,Presion media,28.98,-13.57
35024,35,Teguise,23881,788,33.0,Presion media-baja,29.06,-13.56
35028,35,Tías,21433,1419,66.21,Presion muy alta,28.95,-13.66
38024,38,Llanos de Aridane (Los),20189,573,28.38,Presion baja,28.61,-17.9
38001,38,Adeje,50167,6398,127.53,Presion muy alta,28.13,-16.73
38006,38,Arona,85249,7108,83.38,Presion muy alta,28.06,-16.68
38011,38,Candelaria,28694,782,27.25,Presion baja,28.38,-16.38
38017,38,Granadilla de Abona,54942,3053,55.57,Presion alta,28.12,-16.57
38019,38,Guía de Isora,22301,1293,57.98,Presion alta,28.21,-16.75
