COD_PROVINCIA,PROVINCIA,nearest_hub,nearest_hub_km,distance_class,distance_rank,rent_eur_month,rental_homes,year
28,Madrid,Madrid,13.96108820634611,0-50 km - area inmediata,1,831.0970173293823,499787,2024
48,Bizkaia,Bilbao,18.017427140684934,0-50 km - area inmediata,1,743.2672724296006,36648,2024
41,Sevilla,Sevilla,18.875814660117896,0-50 km - area inmediata,1,606.2342314954078,62498,2024
29,Málaga,Malaga,27.8010211454875,0-50 km - area inmediata,1,687.4471906725671,72989,2024
50,Zaragoza,Zaragoza,31.83721366639073,0-50 km - area inmediata,1,531.1239783240022,66802,2024
46,Valencia/Valéncia,UPV/Valencia,38.14053021276336,0-50 km - area inmediata,1,590.9759150668059,149388,2024
08,Barcelona,Barcelona,48.34144608986325,0-50 km - area inmediata,1,779.0037962629982,394862,2024
01,Araba/Álava,Bilbao,48.689926443189286,0-50 km - area inmediata,1,697.528110101646,11117,2024
20,Gipuzkoa,Bilbao,59.579164514999846,50-100 km - muy accesible,2,770.7344712083149,40602,2024
45,Toledo,Madrid,78.14505209031398,50-100 km - muy accesible,2,490.07324024851084,31226,2024
21,Huelva,Sevilla,82.86542481596268,50-100 km - muy accesible,2,463.88187069126144,10734,2024
40,Segovia,Madrid,84.22004911632615,50-100 km - muy accesible,2,496.3777199621571,8456,2024
12,Castellón/Castelló,UPV/Valencia,88.64826156103821,50-100 km - muy accesible,2,444.4307009760426,33810,2024
22,Huesca,Zaragoza,92.29899370053107,50-100 km - muy accesible,2,456.5010111602127,13351,2024
39,Cantabria,Bilbao,92.6460365904689,50-100 km - muy accesible,2,539.09754109496,29444,2024
17,Girona,Barcelona,93.5754343060404,50-100 km - muy accesible,2,574.2047816862487,56089,2024
11,Cádiz,Sevilla,102.37517243639822,100-175 km - accesible,3,580.4180658633632,35437,2024
18,Granada,Malaga,109.9601072538592,100-175 km - accesible,3,510.0440783839605,39702,2024
19,Guadalajara,Madrid,110.06284654866481,100-175 km - accesible,3,575.6660905191729,15621,2024
05,Ávila,Madrid,111.55602761320108,100-175 km - accesible,3,426.14982717362403,7522,2024
26,"Rioja, La",Bilbao,114.07656234791159,100-175 km - accesible,3,481.2781593824084,16451,2024
25,Lleida,Barcelona,115.34508037000289,100-175 km - accesible,3,463.87473468915215,25913,2024
14,Córdoba,Sevilla,118.61043783900546,100-175 km - accesible,3,483.21545130035696,19610,2024
09,Burgos,Bilbao,120.26719806662042,100-175 km - accesible,3,503.12445730824885,16584,2024
44,Teruel,Zaragoza,120.31536648398514,100-175 km - accesible,3,406.38754877616174,5638,2024
51,Ceuta,Malaga,122.8761150350233,100-175 km - accesible,3,649.406584992343,2612,2024
31,Navarra,Bilbao,124.09208483139233,100-175 km - accesible,3,595.3630879595663,24534,2024
03,Alicante,UPV/Valencia,128.89725323599637,100-175 km - accesible,3,528.2014224624007,89563,2024
43,Tarragona,Barcelona,132.14976089194502,100-175 km - accesible,3,523.1720432223906,50807,2024
16,Cuenca,Madrid,137.9659948552454,100-175 km - accesible,3,447.5867222801529,5754,2024
42,Soria,Zaragoza,143.1624331996363,100-175 km - accesible,3,493.04970963995356,4305,2024
02,Albacete,UPV/Valencia,147.9126599054892,100-175 km - accesible,3,474.1211794075973,14821,2024
06,Badajoz,Sevilla,153.64128953523422,100-175 km - accesible,3,426.1349367902293,18668,2024
13,Ciudad Real,Madrid,161.3041984265592,100-175 km - accesible,3,393.4533172010486,14877,2024
23,Jaén,Malaga,165.89764368437207,100-175 km - accesible,3,412.7144590188794,13189,2024
34,Palencia,Bilbao,170.8386189238381,100-175 km - accesible,3,432.23525127458123,6865,2024
47,Valladolid,Madrid,177.38180217455036,175-250 km - periferica,4,514.6899520889872,29847,2024
30,Murcia,UPV/Valencia,195.35833230999953,175-250 km - periferica,4,460.06206698435227,59178,2024
37,Salamanca,Madrid,197.44297727687257,175-250 km - periferica,4,483.8225306208274,19023,2024
07,"Balears, Illes",Barcelona,207.63379083327746,175-250 km - periferica,4,762.7790383453246,87703,2024
52,Melilla,Malaga,208.49484302266995,175-250 km - periferica,4,582.9167984814932,3161,2024
04,Almería,Malaga,212.15296561577821,175-250 km - periferica,4,462.42581919973657,24292,2024
49,Zamora,Madrid,229.45870099399588,175-250 km - periferica,4,394.0666429080542,5612,2024
10,Cáceres,Madrid,238.5922616641001,175-250 km - periferica,4,418.73507135454037,12543,2024
33,Asturias,Bilbao,247.02832178142373,175-250 km - periferica,4,467.4118503324842,60454,2024
24,León,Bilbao,250.4178923020603,>250 km - alejada,5,435.62837108953613,22248,2024
27,Lugo,Bilbao,360.90714795109324,>250 km - alejada,5,367.8738813735692,14415,2024
32,Ourense,Madrid,378.7267336937353,>250 km - alejada,5,386.3769035532995,14972,2024
15,"Coruña, A",Bilbao,460.2514736227488,>250 km - alejada,5,461.94716840844313,72627,2024
36,Pontevedra,Madrid,464.68581227720637,>250 km - alejada,5,486.58889951755117,48088,2024
35,"Palmas, Las",Sevilla,1348.7833201843005,>250 km - alejada,5,555.5274472473425,63030,2024
38,Santa Cruz de Tenerife,Sevilla,1386.2656279467733,>250 km - alejada,5,559.8442086047677,55876,2024
