CMUN,COD_PROVINCIA,municipality_name,province_name,ccaa,population,households,area_km2,label_lat,label_lon,default_status,default_gap_pct,default_uncovered_households_2024,fixed_30_2023_pct,fixed_30_2024_pct,fixed_30_change_pp,fixed_30_uncovered_households_2024,fixed_100_2023_pct,fixed_100_2024_pct,fixed_100_change_pp,fixed_100_uncovered_households_2024,fixed_1gbps_2023_pct,fixed_1gbps_2024_pct,fixed_1gbps_change_pp,fixed_1gbps_uncovered_households_2024,mobile_4g_2023_pct,mobile_4g_2024_pct,mobile_4g_change_pp,mobile_4g_uncovered_households_2024,mobile_5g_2023_pct,mobile_5g_2024_pct,mobile_5g_change_pp,mobile_5g_uncovered_households_2024,mobile_5g_35_2023_pct,mobile_5g_35_2024_pct,mobile_5g_35_change_pp,mobile_5g_35_uncovered_households_2024,default_technology,default_threshold_pct,year
19010,19,Alcolea de las Peñas,Guadalajara,Castilla-La Mancha,12.0,9.0,16.72,41.218812850379734,-2.7863096829214062,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,fixed_100,90,2024
19005,19,Alarilla,Guadalajara,Castilla-La Mancha,138.0,65.0,21.66,40.8533150722224,-3.099281880219868,Cumple umbral inicial,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,65.0,55.32,68.74,13.42,20.32,15.81,29.26,13.45,45.98,0.0,0.0,0.0,65.0,fixed_100,90,2024
19003,19,Adobes,Guadalajara,Castilla-La Mancha,30.0,13.0,33.0,40.67360880915276,-1.6711868514158414,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,98.13,100.0,1.87,0.0,1.88,0.95,-0.93,12.88,0.0,0.0,0.0,13.0,fixed_100,90,2024
46066,46,Benirredrà,Valencia/València,Comunitat Valenciana,1571.0,521.0,0.39,38.96287899576988,-0.19665006973675428,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,99.81,-0.19,1.0,100.0,100.0,0.0,0.0,100.0,100.0,-0.0,0.0,9.7,100.0,90.3,0.0,fixed_100,90,2024
19038,19,Arbeteta,Guadalajara,Castilla-La Mancha,19.0,16.0,63.04,40.68118875762653,-2.3939325101605795,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,fixed_100,90,2024
37327,37,Torresmenudas,Salamanca,Castilla y León,185.0,82.0,11.47,41.10210182710826,-5.786872792014191,Cumple umbral inicial,0.0,0.0,97.56,100.0,2.44,0.0,97.56,100.0,2.44,0.0,97.56,82.93,-14.63,14.0,71.95,88.76,16.81,9.22,0.21,78.42,78.21,17.7,0.0,0.0,0.0,82.0,fixed_100,90,2024
18914,18,Valderrubio,Granada,Andalucía,2060.0,790.0,5.37,37.23236926970239,-3.8214929830289206,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,26.33,26.33,582.0,100.0,100.0,-0.0,0.0,100.0,100.0,-0.0,0.0,0.0,0.33,0.33,787.4,fixed_100,90,2024
16048,16,Cañamares,Cuenca,Castilla-La Mancha,449.0,191.0,40.63,40.438367832710554,-2.2348098626669457,Cumple umbral inicial,0.0,0.0,96.86,100.0,3.14,0.0,96.86,100.0,3.14,0.0,96.86,86.39,-10.47,26.0,100.0,100.0,0.0,0.0,99.81,99.79,-0.01,0.39,0.0,0.0,0.0,191.0,fixed_100,90,2024
16044,16,Campillos-Sierra,Cuenca,Castilla-La Mancha,29.0,25.0,37.95,40.09105222942682,-1.6764218806656728,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,25.0,fixed_100,90,2024
46058,46,Benifairó de les Valls,Valencia/València,Comunitat Valenciana,2320.0,929.0,4.1,39.725187606381,-0.27761827483324325,Cumple umbral inicial,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,-0.0,0.0,0.0,0.0,0.0,929.0,fixed_100,90,2024
