COD_PROVINCIA,province_name,temperature_mean_c,temperature_anomaly_c,climate_group,climate_comfort_score,area_km2,latitude,longitude,start_year,end_year
35,"Palmas, Las",20.261722029567427,5.960840762632136,Calida,58.5,4068.2737904965843,27.956567100000058,-15.60531161349521,1995,2024
38,Santa Cruz de Tenerife,20.24143639350247,5.940555126567181,Calida,58.7,3380.096948244059,28.295099332000035,-16.620662869507697,1995,2024
52,Melilla,18.87893319948897,4.578051932553679,Calida,76.1,13.48940398561773,35.29265108100003,-2.951647995916824,1995,2024
07,"Balears, Illes",18.5425615988319,4.2416803318966085,Calida,80.4,4991.832846169903,39.61265576450003,2.882312571261856,1995,2024
41,Sevilla,18.252244935207163,3.9513636682718722,Calida,84.1,14037.033335527396,37.52041492950005,-5.653307476865858,1995,2024
51,Ceuta,18.24137981383465,3.940498546899361,Calida,84.2,19.950947073744857,35.894265302000065,-5.3471902688858375,1995,2024
21,Huelva,18.036039423252408,3.7351581563171177,Calida,86.8,10126.528793523514,37.50755725950003,-6.924822497255386,1995,2024
11,Cadiz,17.50658970615077,3.2057084392154795,Calida,93.5,7439.866610157672,36.53225553000004,-5.920571285172713,1995,2024
14,Cordoba,16.96247399160431,2.6615927246690188,Templada,99.5,13773.127912613325,37.95618422350003,-4.847113605074618,1995,2024
03,Alicante/Alacant,16.81470432560687,2.513823058671578,Templada,97.6,5819.5662353186835,38.36507480700004,-0.7481201181065553,1995,2024
04,Almeria,16.597272312465773,2.2963910455304823,Templada,94.9,8779.341109137386,37.30177367000008,-2.1845796382006686,1995,2024
46,Valencia/Valencia,16.595639715276498,2.2947584483412076,Templada,94.9,10810.483403106335,39.33404678750006,-0.8019770714363135,1995,2024
23,Jaen,16.57086329622195,2.269982029286661,Templada,94.5,13496.67055110156,37.95618422350003,-3.493297130930164,1995,2024
29,Malaga,16.516986676400798,2.2161054094655075,Templada,93.8,7311.463828304179,36.79629998300004,-4.5467261235657,1995,2024
17,Girona,16.23627851797774,1.9353972510424509,Templada,90.3,5911.237192293516,42.07196881500008,2.843435312365196,1995,2024
06,Badajoz,16.124214272677488,1.8233330057421977,Templada,88.8,21765.68162532716,38.69706508000005,-6.220354224100653,1995,2024
43,Tarragona,15.983590071180874,1.6827088042455838,Templada,87.1,6302.490894137967,41.05338650550007,0.6270863050618757,1995,2024
10,Caceres,15.8434504471619,1.542569180226609,Templada,85.3,19865.794044488102,39.75894009750005,-6.137295340568468,1995,2024
13,Ciudad Real,15.2487844497171,0.9479031827818094,Templada,77.7,19811.296677117432,38.96144028050006,-3.885563972559142,1995,2024
02,Albacete,15.237040518342752,0.9361592514074619,Templada,77.6,14923.999955491765,38.72452034850005,-1.9543626415771804,1995,2024
45,Toledo,15.146844314655953,0.8459630477206623,Templada,76.4,15365.574065403816,39.78830737850007,-4.102631052231721,1995,2024
30,Murcia,14.944217922978648,0.643336656043358,Templada fresca,73.8,11316.142192480524,38.06419952400006,-1.6719232640515669,1995,2024
22,Huesca,14.20425807629129,-0.09662319064400116,Templada fresca,64.4,15633.17102890885,42.13716720950006,-0.0289571521186292,1995,2024
36,Pontevedra,14.184243475086692,-0.11663779184859813,Templada fresca,64.1,4492.85223498659,42.36343819450008,-8.533924750728751,1995,2024
33,Asturias,14.126148932286908,-0.17473233464838245,Templada fresca,63.4,10603.913756185826,43.27191501000004,-5.851969998063956,1995,2024
12,Castellon/Castello,14.038804526373424,-0.2620767405618665,Templada fresca,62.3,6633.967085661144,40.25283130850005,-0.0602019030153027,1995,2024
50,Zaragoza,14.03810275597736,-0.26277851095793103,Templada fresca,62.3,17276.668076915124,41.84402038850007,-1.170849419808773,1995,2024
18,Granada,13.96513962401898,-0.3357416429163109,Templada fresca,61.4,12648.238147634775,37.38960480700007,-3.2393785030417845,1995,2024
28,Madrid,13.517479467056049,-0.7834017998792415,Templada fresca,55.7,8030.398031672199,40.52170160700007,-3.767642378426471,1995,2024
15,"Coruna, A",13.510610512867322,-0.7902707540679685,Templada fresca,55.6,7947.0024889272445,43.15384420700005,-8.579850103766056,1995,2024
08,Barcelona,12.714013506114252,-1.586867760821038,Templada fresca,45.4,7729.729647136022,41.760116315500056,2.0307008309731724,1995,2024
37,Salamanca,12.70550009125752,-1.5953811756777707,Templada fresca,45.3,12351.308023789938,40.763790924000034,-6.022417740995879,1995,2024
31,Navarra,12.58873243292572,-1.7121488340095699,Templada fresca,43.8,10390.675334382388,42.61276003500004,-1.830042410109936,1995,2024
