COD_PROVINCIA,province_name,ccaa,population,households,coverage_1gbps_2023_pct,coverage_1gbps_2024_pct,coverage_change_pp,coverage_gap_pct,readiness_class,readiness_recommendation,alert_tech_gap,connected_households_2024,uncovered_households_2024,area_km2,label_lat,label_lon,year
28,Madrid,MADRID (COMUNIDAD DE),6859914,2543639,98.81,98.39,-0.42,1.61,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,2502689.0,40950.0,8030.4,40.504725883575325,-3.8196486574177033,2024
08,Barcelona,CATALUÑA,5805500,2197181,98.26,98.16,-0.1,1.84,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,2156662.0,40519.0,7729.7,41.768106850921065,1.8895925595503902,2024
52,Melilla,CIUDAD AUTÓNOMA DE MELILLA,85491,25008,57.87,98.08,40.22,1.92,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,24528.0,480.0,13.5,35.29314901881256,-2.9515160587644482,2024
01,Araba/Álava,PAIS VASCO,336686,140925,96.34,97.55,1.2,2.45,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,137469.0,3456.0,3039.8,42.85506231819567,-2.721629253773971,2024
41,Sevilla,ANDALUCÍA,1957210,723197,95.97,97.27,1.3,2.73,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,703438.0,19759.0,14037.0,37.511316671148265,-5.832614061976623,2024
46,Valencia/València,COMUNITAT VALENCIANA,2656291,1029839,95.62,97.09,1.47,2.91,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,999875.0,29964.0,10810.5,39.34212139137375,-0.7464753127839965,2024
47,Valladolid,CASTILLA Y LEÓN,521071,216054,94.36,97.05,2.69,2.95,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,209681.0,6373.0,8109.4,41.71420090355392,-4.910766776641428,2024
26,"Rioja, La",RIOJA (LA),322490,132227,96.43,96.97,0.54,3.03,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,128218.0,4009.0,5046.8,42.279328685212874,-2.5454538574297794,2024
39,Cantabria,CANTABRIA,588419,237799,96.59,96.64,0.04,3.36,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,229801.0,7998.0,5323.5,43.1033613560993,-4.055382373315356,2024
13,Ciudad Real,CASTILLA-LA MANCHA,491127,193853,95.76,96.16,0.4,3.84,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,186416.0,7437.0,19811.3,38.964396537696835,-3.8978493366447595,2024
45,Toledo,CASTILLA-LA MANCHA,728496,269319,96.83,95.95,-0.88,4.05,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,258416.0,10903.0,15365.6,39.79023488425918,-4.137976675570367,2024
20,Gipuzkoa,PAIS VASCO,728027,300448,94.16,95.94,1.78,4.06,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,288251.0,12197.0,1978.8,43.11955076975763,-2.2314986632822804,2024
06,Badajoz,EXTREMADURA,665089,265977,87.58,95.14,7.56,4.86,Nivel 5 - Muy apto (>=95%),Muy apto para teletrabajo e IA.,False,253055.0,12922.0,21765.7,38.77335530909135,-6.109965896573106,2024
02,Albacete,CASTILLA-LA MANCHA,387174,150906,90.83,94.87,4.05,5.13,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,143172.0,7734.0,14924.0,38.772774658671295,-1.7977273847698736,2024
17,Girona,CATALUÑA,809266,298791,94.07,94.8,0.73,5.2,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,283259.0,15532.0,5911.2,42.108200466534264,2.7611839120708113,2024
34,Palencia,CASTILLA Y LEÓN,157752,68345,88.39,94.62,6.23,5.38,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,64670.0,3675.0,8051.6,42.35825399762158,-4.638904699458658,2024
14,Córdoba,ANDALUCÍA,773997,299020,91.21,94.52,3.3,5.48,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,282625.0,16395.0,13773.1,37.94355740718501,-4.82386349327579,2024
12,Castellón/Castelló,COMUNITAT VALENCIANA,603952,237998,93.47,94.21,0.73,5.79,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,224207.0,13791.0,6634.0,40.263293552047934,-0.10196124458588086,2024
31,Navarra,NAVARRA (COMUNIDAD FORAL),671746,246994,89.56,94.1,4.54,5.9,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,232416.0,14578.0,10390.7,42.59272863731215,-1.7295697811784854,2024
29,Málaga,ANDALUCÍA,1751600,659692,92.73,94.09,1.36,5.91,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,620731.0,38961.0,7311.5,36.83130101846306,-4.696871791674724,2024
43,Tarragona,CATALUÑA,847566,322622,94.44,93.95,-0.5,6.05,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,303090.0,19532.0,6302.5,41.02851176499291,0.6667256849909378,2024
50,Zaragoza,ARAGÓN,977413,394782,93.75,93.77,0.03,6.23,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,370193.0,24589.0,17276.7,41.81411096629304,-1.1989305380422057,2024
51,Ceuta,CIUDAD AUTÓNOMA DE CEUTA,83039,24703,97.13,93.49,-3.64,6.51,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,23096.0,1607.0,20.0,35.894461142812474,-5.356246067194933,2024
21,Huelva,ANDALUCÍA,530824,200378,88.08,93.27,5.19,6.73,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,186899.0,13479.0,10126.5,37.45435669177554,-6.910400949859003,2024
23,Jaén,ANDALUCÍA,620242,246069,94.15,93.01,-1.14,6.99,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,228869.0,17200.0,13496.7,37.994563999957876,-3.399511872014579,2024
30,Murcia,MURCIA (REGIÓN DE),1552457,539860,87.24,92.95,5.71,7.05,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,501797.0,38063.0,11316.1,38.03184843929366,-1.6486465095919138,2024
16,Cuenca,CASTILLA-LA MANCHA,197139,80882,89.82,92.89,3.08,7.11,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,75134.0,5748.0,17140.4,39.93877981267216,-2.2219038851736497,2024
35,"Palmas, Las",CANARIAS,1140258,420114,93.83,92.84,-0.99,7.16,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,390017.0,30097.0,4068.3,27.96421696570061,-15.606996139084105,2024
11,Cádiz,ANDALUCÍA,1250539,467661,92.58,92.67,0.09,7.33,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,433376.0,34285.0,7439.9,36.464487746370104,-5.915284391484333,2024
07,"Balears, Illes",BALEARS (ILLES),1197261,441242,89.88,92.46,2.58,7.54,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,407968.0,33274.0,4991.8,39.59624741457044,2.8818324185401147,2024
03,Alicante/Alacant,COMUNITAT VALENCIANA,1950357,753038,83.62,92.44,8.83,7.56,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,696111.0,56927.0,5819.6,38.34487490456367,-0.6973244237728201,2024
25,Lleida,CATALUÑA,446793,169747,92.79,92.43,-0.37,7.57,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,156891.0,12856.0,12169.1,42.131913711447915,1.209430069653326,2024
18,Granada,ANDALUCÍA,930181,367765,92.48,92.41,-0.07,7.59,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,339860.0,27905.0,12648.2,37.327959924114744,-3.431558843905868,2024
04,Almería,ANDALUCÍA,753920,274663,91.75,92.0,0.25,8.0,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,252683.0,21980.0,8779.3,37.3239312809527,-2.1573205738666066,2024
49,Zamora,CASTILLA Y LEÓN,166366,76014,86.37,91.6,5.24,8.4,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,69631.0,6383.0,10557.9,41.726520948280964,-5.786690263024879,2024
09,Burgos,CASTILLA Y LEÓN,357180,152169,89.84,90.45,0.6,9.55,Nivel 4 - Apto (90-95%),Apto para teletrabajo en la mayor parte de hogares.,False,137631.0,14538.0,14291.0,42.317686976941665,-3.66861749715691,2024
40,Segovia,CASTILLA Y LEÓN,155258,63348,90.1,89.42,-0.68,10.58,Nivel 3 - Revisar (85-90%),"Aceptable, pero conviene revisar municipios concretos.",False,56648.0,6700.0,6925.1,41.12479177074759,-4.052209788210108,2024
38,Santa Cruz de Tenerife,CANARIAS,1061790,396501,91.2,89.22,-1.98,10.78,Nivel 3 - Revisar (85-90%),"Aceptable, pero conviene revisar municipios concretos.",False,353741.0,42760.0,3380.1,28.2523651334685,-16.588496144005177,2024
