rank_tech,COD_PROVINCIA,province_name,ccaa,recommendation,tech_destination_index,index_class,rent_eur_month,mobility_score,mobility_label,transport_nodes,weighted_transport_nodes,high_speed_nodes,long_distance_nodes,medium_distance_nodes,av_ld_md_nodes,cercanias_nodes,feve_nodes,airport_nodes,nodes_per_100k,nearest_strategic_km,nearest_strategic_label,strategic_access_score,node_mass_score,node_density_score,rental_homes,rental_homes_per_1000_households,municipalities,coverage_1gbps_2024_pct,annual_mean_c,precipitation_annual_mm,temperature_comfort_score,rain_comfort_score,climate_comfort_score,rent_score_low_price,availability_score,connectivity_score,climate_score,rent_contribution,mobility_contribution,connectivity_contribution,climate_contribution,population,households,label_lat,label_lon,area_km2,year
1,13,Ciudad Real,CASTILLA-LA MANCHA,Destino muy competitivo,86.34,Quintil 5 - mejor equilibrio,393.45,64.73,64.7 / 100,23,46.0,2,6,15,23,0,0,0,9.37,2.71,3 km,97.29,50.29,16.74,14877,76.74,39,96.16,15.25,394.53,77.7,90.27,81.47,94.48,15.96,96.16,81.47,38.9,15.23,22.63,9.58,491127,193853,38.964396537696835,-3.8978493366447595,19811.3,2024
2,06,Badajoz,EXTREMADURA,Destino muy competitivo,83.51,Quintil 5 - mejor equilibrio,426.13,60.95,61.0 / 100,28,57.0,0,3,24,27,0,0,1,8.57,13.78,14 km,86.22,54.58,15.24,18668,70.19,63,95.14,16.12,463.06,88.85,98.31,91.69,87.42,11.45,95.14,91.69,36.0,14.34,22.39,10.79,665089,265977,38.77335530909135,-6.109965896573106,21765.7,2024
3,33,Asturias,ASTURIAS (PRINCIPADO DE),Destino muy competitivo,83.4,Quintil 5 - mejor equilibrio,467.41,99.21,99.2 / 100,421,536.0,4,5,104,113,143,164,1,53.32,1.75,2 km,98.25,100.0,100.0,60454,135.44,60,88.17,14.13,904.18,63.4,49.93,59.36,78.51,56.38,88.17,59.36,32.33,23.34,20.75,6.98,1005283,446365,43.33389761312147,-5.975911164897366,10603.9,2024
4,23,Jaén,ANDALUCÍA,Destino muy competitivo,83.06,Quintil 5 - mejor equilibrio,412.71,54.82,54.8 / 100,12,24.0,0,4,8,12,0,0,0,3.87,10.09,10 km,89.91,37.4,6.33,13189,53.6,50,93.01,16.57,422.98,94.54,93.6,94.26,90.32,0.02,93.01,94.26,37.19,12.9,21.88,11.09,620242,246069,37.994563999957876,-3.399511872014579,13496.7,2024
5,27,Lugo,GALICIA,Destino muy competitivo,81.73,Quintil 5 - mejor equilibrio,367.87,74.97,75.0 / 100,69,113.0,0,4,40,44,0,25,0,34.88,15.49,15 km,84.51,68.37,65.08,14415,104.86,50,77.05,12.3,971.9,40.12,41.98,40.68,100.0,35.32,77.05,40.68,41.18,17.64,18.13,4.79,323956,137472,43.04836166142623,-7.366703154768967,9858.9,2024
6,10,Cáceres,EXTREMADURA,Destino muy competitivo,81.08,Quintil 5 - mejor equilibrio,418.74,57.87,57.9 / 100,14,28.0,0,4,10,14,0,0,0,7.23,8.49,8 km,91.51,40.43,12.69,12543,74.63,46,88.3,15.84,602.25,85.27,85.36,85.3,89.02,14.51,88.3,85.3,36.66,13.62,20.78,10.04,387434,168065,39.714078926357644,-6.35672179652466,19865.8,2024
7,49,Zamora,CASTILLA Y LEÓN,Destino muy competitivo,80.64,Quintil 5 - mejor equilibrio,394.07,57.1,57.1 / 100,13,26.0,2,2,9,13,0,0,0,15.63,16.14,16 km,83.86,38.97,28.61,5612,73.83,16,91.6,12.55,549.62,43.38,91.54,57.83,94.35,13.95,91.6,57.83,38.85,13.44,21.55,6.8,166366,76014,41.726520948280964,-5.786690263024879,10557.9,2024
8,24,León,CASTILLA Y LEÓN,Destino muy competitivo,80.12,Quintil 5 - mejor equilibrio,435.63,84.69,84.7 / 100,139,194.0,1,9,43,53,42,43,1,43.36,9.55,10 km,90.45,79.33,81.13,22248,112.09,54,88.53,10.29,603.39,14.55,85.23,35.75,85.37,40.31,88.53,35.75,35.15,19.93,20.83,4.21,447463,198480,42.54957146580582,-5.855291983207049,15577.8,2024
9,21,Huelva,ANDALUCÍA,Destino muy competitivo,79.72,Quintil 5 - mejor equilibrio,463.88,61.72,61.7 / 100,18,36.0,0,2,16,18,0,0,0,6.78,3.42,3 km,96.58,45.4,11.85,10734,53.57,44,93.27,18.04,459.81,86.81,97.93,90.14,79.27,0.0,93.27,90.14,32.64,14.52,21.95,10.61,530824,200378,37.45435669177554,-6.910400949859003,10126.5,2024
10,12,Castellón/Castelló,COMUNITAT VALENCIANA,Destino muy competitivo,79.72,Quintil 5 - mejor equilibrio,444.43,62.54,62.5 / 100,45,70.0,1,5,17,23,21,0,1,11.59,16.0,16 km,84.0,58.71,20.96,33810,142.06,63,94.21,14.04,430.24,62.29,94.46,71.94,83.47,60.95,94.21,71.94,34.37,14.72,22.17,8.46,603952,237998,40.263293552047934,-0.10196124458588086,6634.0,2024
