COD_PROVINCIA,province_name,latitude,longitude,precipitation_annual_mm,jan_precip_mm,feb_precip_mm,mar_precip_mm,apr_precip_mm,may_precip_mm,jun_precip_mm,jul_precip_mm,aug_precip_mm,sep_precip_mm,oct_precip_mm,nov_precip_mm,dec_precip_mm,start_year,end_year
01,Araba/Alava,42.84685163200004,-2.681504930102382,918.8103333333333,101.463,81.81066666666668,74.66866666666667,72.32,68.45833333333333,61.48,44.516,44.051,62.42999999999999,82.40833333333333,126.8,98.40433333333334,1995,2024
02,Albacete,38.72452034850005,-1.9543626415771804,305.49233333333336,23.53933333333333,17.312666666666665,34.441,33.9,29.14,18.43,5.156333333333333,12.730666666666668,37.82,31.692333333333334,31.88,29.45,1995,2024
03,Alicante/Alacant,38.36507480700004,-0.7481201181065553,319.24266666666665,28.551,16.798,36.332,33.739999999999995,27.424666666666667,13.41,4.722333333333333,13.092333333333332,43.32,34.544333333333334,35.440000000000005,31.868,1995,2024
04,Almeria,37.301773670000074,-2.1845796382006686,244.975,24.479666666666667,15.943666666666667,30.452333333333332,24.759999999999998,19.023666666666667,9.020000000000001,1.9943333333333333,7.367666666666667,26.4,25.874666666666666,26.83,32.829,1995,2024
05,Avila,40.62552329400006,-4.835890534161348,412.2706666666666,38.316,29.229,36.43533333333333,43.16,41.20933333333333,23.160000000000004,9.227666666666666,11.852333333333332,29.27,57.381,49.32,43.71,1995,2024
06,Badajoz,38.697065080000044,-6.220354224100653,463.05766666666665,50.42666666666666,39.841,49.631,46.41,33.717666666666666,11.07,2.852,4.0920000000000005,26.65,70.13233333333332,61.74,66.495,1995,2024
07,"Balears, Illes",39.61265576450003,2.8823125712618562,516.447,46.221000000000004,38.11966666666667,36.352666666666664,40.97,35.41233333333333,16.77,9.103666666666667,26.918333333333333,67.23,66.97033333333334,80.02,52.359,1995,2024
08,Barcelona,41.760116315500056,2.0307008309731724,550.0243333333333,41.922333333333334,30.249000000000002,42.717999999999996,54.49,54.54966666666667,41.72,31.154999999999998,42.14966666666667,53.99,62.785333333333334,54.45,39.84533333333333,1995,2024
09,Burgos,42.32538152850006,-3.67701500562906,616.8833333333333,61.400666666666666,44.99033333333333,50.84,59.36,53.36133333333333,44.65,26.742666666666665,26.029666666666667,39.82,65.968,77.67,66.05066666666667,1995,2024
10,Caceres,39.758940097500044,-6.137295340568468,602.2486666666666,63.32266666666667,50.02766666666666,60.367333333333335,59.230000000000004,44.123333333333335,19.08,6.623666666666667,8.390666666666666,36.2,90.58200000000001,83.35,80.95133333333334,1995,2024
11,Cadiz,36.53225553000004,-5.920571285172713,550.3096666666667,70.091,54.191,71.00033333333333,49.01,28.034333333333333,5.8100000000000005,0.5683333333333334,2.0253333333333337,24.32,67.72466666666666,78.81,98.72466666666666,1995,2024
12,Castellon/Castello,40.25283130850005,-0.06020190301530279,430.24233333333336,31.382333333333335,19.89966666666667,39.824666666666666,43.04,46.458666666666666,26.35,16.884666666666668,26.215666666666667,51.32,48.78366666666667,50.54,29.543,1995,2024
13,Ciudad Real,38.96144028050006,-3.885563972559142,394.5303333333333,36.80733333333333,29.21066666666667,43.617,46.68,34.596000000000004,14.06,3.647666666666667,8.018666666666666,30.740000000000002,51.75966666666667,44.76,50.63333333333333,1995,2024
14,Cordoba,37.95618422350003,-4.847113605074618,488.42199999999997,51.75966666666667,42.717,57.37066666666667,47.8,35.41233333333333,8.46,1.6119999999999999,5.6626666666666665,30.32,66.11266666666667,63.54,77.655,1995,2024
15,"Coruna, A",43.15384420700005,-8.579850103766056,1298.0866666666666,157.68666666666667,112.027,119.93900000000001,109.11,85.95266666666666,53.330000000000005,33.18033333333333,39.96933333333333,66.02,165.168,179.82000000000002,175.88366666666667,1995,2024
16,Cuenca,39.93968445450005,-2.1524468968601633,400.35333333333335,28.478666666666665,23.905666666666665,38.657000000000004,45.74,43.327666666666666,31.860000000000003,13.681333333333333,20.832,38.41,45.198,37.93,32.333,1995,2024
17,Girona,42.071968815000076,2.843435312365196,635.8383333333334,53.03066666666667,37.64566666666666,54.219,67.1,60.109,42.730000000000004,30.11133333333333,37.448,61.76,77.46900000000001,63.82000000000001,50.39566666666666,1995,2024
18,Granada,37.38960480700007,-3.2393785030417845,326.0296666666667,35.050666666666665,28.515,40.12433333333333,32.45,27.042333333333332,9.0,1.3743333333333334,4.732666666666668,24.48,34.89566666666667,41.72,46.644666666666666,1995,2024
19,Guadalajara,40.74142346900004,-2.5050392600436364,410.7146666666667,32.426,26.088666666666665,38.595,47.2,42.129,31.18,12.234666666666667,17.701,33.13,50.42666666666666,42.91,36.693666666666665,1995,2024
20,Gipuzkoa,43.143589420500064,-2.205139585800379,918.8103333333333,101.463,81.81066666666668,74.66866666666667,72.32,68.45833333333333,61.48,44.516,44.051,62.42999999999999,82.40833333333333,126.8,98.40433333333334,1995,2024
21,Huelva,37.50755725950003,-6.924822497255386,459.8146666666667,53.06166666666666,41.12,51.86300000000001,46.13,28.633666666666667,7.62,1.4466666666666665,2.6246666666666667,21.98,63.93233333333333,66.92,74.48266666666667,1995,2024
22,Huesca,42.13716720950006,-0.028957152118629204,466.55199999999996,39.19433333333333,26.39466666666667,39.38033333333333,52.14,49.33133333333333,38.03,24.686333333333334,24.924,41.11,48.897333333333336,47.32000000000001,35.14366666666667,1995,2024
23,Jaen,37.95618422350003,-3.4932971309301637,422.983,44.123333333333335,37.48133333333333,51.90433333333333,44.16,34.782000000000004,10.31,1.9116666666666666,5.921,29.18,48.22566666666667,54.11,60.873666666666665,1995,2024
24,Leon,42.62991046950003,-5.971001316208753,603.3903333333333,69.88433333333334,48.26733333333333,50.30266666666667,52.169999999999995,48.07066666666667,34.1,19.323333333333334,19.829666666666665,38.13,72.199,74.44000000000001,76.67333333333333,1995,2024
25,Lleida,42.06625917800005,1.1781995144377118,519.425,40.248333333333335,28.107333333333333,41.013,54.13,53.21666666666667,40.03,29.274333333333335,35.433,50.39,58.300666666666665,52.34,36.94166666666667,1995,2024
26,"Rioja, La",42.28327214700005,-2.4828031135403053,624.316,62.465,50.178999999999995,52.297000000000004,56.05,55.25233333333333,51.25,32.291666666666664,28.695666666666668,42.26,57.04,75.61,60.925333333333334,1995,2024
27,Lugo,43.04075275650007,-7.447991749594156,971.8993333333333,113.15,82.58633333333334,87.47166666666666,83.76,67.43533333333333,46.2,26.918333333333333,30.783,52.09,121.365,131.19,128.94966666666667,1995,2024
28,Madrid,40.52170160700007,-3.7676423784264705,464.78933333333333,42.17033333333333,33.531666666666666,43.348333333333336,50.190000000000005,44.90866666666667,25.27,9.496333333333332,14.621666666666666,32.43,63.99433333333333,54.980000000000004,49.848,1995,2024
29,Malaga,36.79629998300004,-4.5467261235657,466.1486666666667,55.69666666666667,43.642,59.69566666666667,43.55,29.491333333333333,6.290000000000001,0.4856666666666667,3.1516666666666664,26.81,53.878,64.79,78.66766666666668,1995,2024
30,Murcia,38.06419952400006,-1.6719232640515669,277.816,24.862000000000002,15.837333333333333,33.45933333333333,29.540000000000003,24.552,14.08,3.1103333333333336,10.147333333333334,32.92,28.148000000000003,29.86,31.299666666666667,1995,2024
31,Navarra,42.612760035000036,-1.8300424101099357,652.8566666666667,63.72566666666667,51.835,54.89066666666667,58.330000000000005,57.391333333333336,54.87,33.542,32.16766666666667,47.63,58.807,78.68,60.98733333333334,1995,2024
32,Ourense,42.19269801600004,-7.536621236336593,980.4443333333332,119.42233333333334,82.46366666666667,91.77033333333334,85.66,66.03,40.470000000000006,20.119000000000003,25.058333333333334,53.529999999999994,127.038,128.37,140.51266666666666,1995,2024
33,Asturias,43.27191501000004,-5.8519699980639555,904.1800000000001,107.40466666666666,81.52199999999999,73.60433333333334,72.33,60.656666666666666,51.59,33.345666666666666,39.68,56.440000000000005,89.39366666666666,128.07,110.143,1995,2024
